"adap-org/9909004","Bartolo Luque Serrano","Bartolo Luque and Antonio Ferrera (Centro de Astrobiologia, Madrid)","Measuring Mutual Information in Random Boolean Networks","12 pages with 5 figures(eps) included. Submitted to Complex Systems",,,,"adap-org nlin.AO",,"  During the last few years an area of active research in the field of complex
systems is that of their information storing and processing abilities. Common
opinion has it that the most interesting beaviour of these systems is found
``at the edge of chaos'', which would seem to suggest that complex systems may
have inherently non-trivial information proccesing abilities in the vicinity of
sharp phase transitions. A comprenhensive, quantitative understanding of why
this is the case is however still lacking. Indeed, even ``experimental'' (i.e.,
often numerical) evidence that this is so has been questioned for a number of
systems. In this paper we will investigate, both numerically and analitically,
the behavior of Random Boolean Networks (RBN's) as they undergo their
order-disorder phase transition. We will use a simple mean field approximation
to treat the problem, and without lack of generality we will concentrate on a
particular value for the connectivity of the system. In spite of the simplicity
of our arguments, we will be able to reproduce analitically the amount of
mutual information contained in the system as measured from numerical
simulations.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:01:03 GMT""}]","2007-05-23"
"astro-ph/9909085","Jason A. Surace","J.A. Surace, D.B. Sanders, A.S. Evans","High Resolution Optical/Near-Infrared Imaging of Cool Ultraluminous
  Infrared Galaxies","38 pages with 8 figures supplied as separate JPGs. Accepted for
  publication in The Astrophysical Journal",,"10.1086/308247",,"astro-ph",,"  We present high spatial resolution (FWHM 0.3-0.8"") BIHK'-band imaging of a
sample of ultraluminous infrared galaxies with ""cool"" mid-infrared colors
(f25/f60 < 0.2) which select against AGN-like systems and which form a
complementary sample to the ""warm"" ULIGs of Surace et al. (1998). We find that
all of the cool ULIGs are either advanced mergers or are pre-mergers with
evidence for still-separate nuclei with separations greater than 600 pc.
Extended tidal features such as tails and loops as well as clustered star
formation are observed in most systems. This extended tidal structure suggests
a common progenitor geometry for most of the ULIGs: a plunging disk collision
where the disks are highly inclined with respect to each other. The underlying
host galaxies have H-band luminosities of 1-2.5 L*, very similar to that found
in the ""warm"" ULIGs. The nuclear regions of these galaxies have morphologies
and colors characteristic of a recent burst of star formation mixed with hot
dust and mildly extinguished by A_v=2-5 magnitudes; only in o ne case (IRAS
22491-1808) is there evidence for a compact emission region with colors similar
to an extinguished QSO. Most of the observed star-forming knots appear to have
very young (10 Myr) ages based on their optical/near-infrared colors. These
star-forming knots are insufficiently luminous to typically provide more than
10% of the high bolometric luminosity of the systems.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 07:27:35 GMT""}]","2009-10-31"
"astro-ph/9909086","Chris D. Koresko","C.D. Koresko, G.A. Blake, M.E. Brown, A.I. Sargent, D.W. Koerner","Imaging the Haro 6-10 Infrared Companion","6 pages, including 2 figures, LaTeX2e, aastex macros",,"10.1086/312333",,"astro-ph",,"  We present an infrared imaging study of the low-mass pre-main sequence binary
system Haro 6-10. This system is one of a handful in which the
optically-visible primary has the characteristics of a normal T Tauri star,
while the secondary is a so-called ""infrared companion"" (IRC), a strongly
extincted object which emits most of its luminosity in the infrared. A speckle
holographic technique was used to produce nearly diffraction-limited images on
three nights over a one-year period starting in late 1997. The images show that
the IRC is obscured and surrounded by a compact, irregular, and variable
nebula. This structure is in striking contrast to the well-ordered edge-on disk
associated with HK Tauri B, the extincted companion to another T Tauri star of
similar age. A new, resolved intensity peak was found 0"".4 southwest of the
IRC. We suggest that it may represent light scattered by a clump of dusty
material illuminated by starlight escaping along an outflow-carved cavity in
the IRC envelope. The primary star became fainter and the companion became more
extended during the observing period.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 07:27:49 GMT""}]","2009-10-31"
"astro-ph/9909087","Subhabrata Majumdar","Subhabrata Majumdar, Ravi Subrahmanyan","Constraints on structure formation models from Sunyaev-Zel'dovich Effect","Latex, 10 pages with 2 embedded figures, uses mn.tex, accepted for
  publication in MNRAS",,"10.1046/j.1365-8711.2000.03153.x",,"astro-ph",,"  In the context of cold dark matter (CDM) cosmological models, we have
simulated images of the brightness temperature fluctuations in the cosmic
microwave background (CMB)sky owing to the Sunyaev Zel$^{\prime}$dovich (S-Z)
effect in a cosmological distribution of clusters. We compare the image
statistics with recent ATCA limits on arcmin-scale CMB anisotropy. The S-Z
effect produces a generically non-Gaussian field and we compute the variance in
the simulated temperature-anisotropy images, after convolution with the ATCA
beam pattern, for different cosmological models. All the models are normalised
to the 4-year {\it COBE} data. We find an increase in the simulated-sky
temperature variance with increase in the cosmological density parameter
$\Omega_0$. A comparison with the upper limits on the sky variance set by the
ATCA appears to rule out our closed-universe model: low-$\Omega_0$
open-universe models are preferred. The result is independent of any present
day observations of $\sigma_8$.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 13:00:33 GMT""}]","2009-10-31"
"cond-mat/9909053","Dubos","P. Dubos, P. Charlat, Th. Crozes, P. Paniez and B. Pannetier","A thermostable trilayer resist for niobium lift-off","6 pages, 6 eps figures, submitted to Journal of Vacuum Science and
  Technology B",,"10.1116/1.591162",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  We have developped a novel lift-off process for fabrication of high quality
superconducting submicron niobium structures. The process makes use of a
thermostable polymer with a high transition temperature T_{g}= 235 C and an
excellent chemical stability. The superconducting critical temperature of 100
nm wide niobium lines is above 7 K. An example of shadow evaporation of a Nb-Cu
submicron hybrid structure is given. A potential application of this process is
the fabrication of very small single electron devices using refratory metals.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:25:23 GMT""}]","2009-10-31"
"cond-mat/9909054","Horacio E. Castillo","Horacio E. Castillo (ENS, Paris) and Paul M. Goldbart (U of I, Urbana)","Semi-microscopic theory of elasticity near the vulcanization transition","22 pages, RevTeX, 1 figure","Phys. Rev. E 62, 8159 (2000)","10.1103/PhysRevE.62.8159",,"cond-mat.dis-nn cond-mat.soft cond-mat.stat-mech",,"  Randomly crosslinked macromolecules undergo a liquid-to-amorphous solid phase
transition at a critical crosslink concentration. This transition has two main
signatures: the random localization of a fraction of the monomers and the
emergence of a nonzero static shear modulus. In this article, a
semi-microscopic statistical mechanical theory of the elastic properties of the
amorphous solid state is developed. This theory takes into account both
quenched disorder and thermal fluctuations, and allows for the direct
computation of the free energy change of the sample due to a given macroscopic
shear strain. This leads to an unambiguous determination of the static shear
modulus. At the level of mean field theory, it is found (i) that the shear
modulus grows continuously from zero at the transition, and does so with the
classical exponent, i.e., with the third power of the excess crosslink density
and, quite surprisingly, (ii) that near the transition the external stresses do
not spoil the spherical symmetry of the localization clouds of the particles.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 17:12:17 GMT""}]","2009-10-31"
"cond-mat/9909055","Ingve Simonsen","Ingve Simonsen and Alex Hansen","A Fast Algorithm for Generating Long Self-Affine Profiles","Revtex, 8 pages (including 3 eps-figures)","Phys. Rev. E 65, 037701 (2002)","10.1103/PhysRevE.65.037701",,"cond-mat.dis-nn cond-mat.soft",,"  We introduce a fast algorithm for generating long self-affine profiles. The
algorithm, which is based on the fast wavelet transform, is faster than the
conventional Fourier filtering algorithm. In addition to increased performance
for large systems, the algorithm, named the wavelet filtering algorithm, a
priori gives rise to profiles for which the long-range correlation extends
throughout the entire system independently of the length scale.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 17:32:29 GMT""}]","2010-05-04"
"cond-mat/9909056","C. Dharma-wardana","M. W. C. Dharma-wardana and F. Perrot","A simple classical mapping of the spin-polarized quantum electron gas:
  distribution functions and local field corrections","4 pags (Revtex), 3 posscript figures",,"10.1103/PhysRevLett.84.959",,"cond-mat.str-el cond-mat.stat-mech",,"  We use the now well known spin-unpolarized exchange-correlation energy E_{xc}
of the uniform electron gas as the basic ``many-body'' input to determine the
temperature T_q of a classical Coulomb fluid having the same correlation energy
as the quantum system. It is shown that the spin-polarized pair distribution
functions (SPDFs) of the classical fluid at T_q, obtained using the
hyper-netted chain (HNC) equation are in excellent agreement with those of the
T=0 quantum fluid obtained by quantum Monte Carlo (QMC) simulations. These
methods are computationally simple and easily applied to problems which are
currently outside the scope of QMC. Results are presented for the SPDFs and the
local-field corrections to the response functions of the electron fluid at zero
and finite temperatures.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 18:37:26 GMT""}]","2009-10-31"
"cond-mat/9909057","Yogesh Joglekar","Yogesh N. Joglekar, Allan H. MacDonald","Order parameter suppression in double layer quantum Hall ferromagnets","7 pages, 4 figures, To appear in Proceedings of 13th International
  Conference on Electronic Properties of Two-Dimensional Systems (EP2DS-13)","Physica E 6(2000) 627-631","10.1016/S1386-9477(99)00133-2",,"cond-mat.mes-hall cond-mat.str-el",,"  Double-layer quantum Hall systems at Landau level filling factor $\nu=1$ have
a broken symmetry ground state with spontaneous interlayer phase coherence and
a gap between symmetric and antisymmetric subbands in the absence of interlayer
tunneling. We examine the influence of quantum fluctuations on the spectral
function of the symmetric Green's function, probed in optical absorption
experiments (cond-mat/9809373). We find that as the maximum layer separation at
which the $\nu=1$ quantum Hall effect occurs is approached, absorption in the
lowest Landau level grows in strength. Detailed line shapes for this absorption
are evaluated and related to features in the system's collective excitation
spectrum.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 18:48:58 GMT""}]","2009-10-31"
"cond-mat/9909058","Victor Kurasov","Victor Kurasov","Multicomponent nonisothermal nucleation. 1. Kinetic equation","Latex",,,,"cond-mat.stat-mech",,"  The first part of the theory for the multicomponent nonisothermal nucleation
is presented. On the base of analysis of the elementary acts of interation
between an embryo and environment the kinetic equation is derived. This
equation will be solved later and gives the nucleation rate for nonisothermal
nucleation in the system with many condensating components. The orders of
operators in this equation are estimated.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:25:46 GMT""}]","2007-05-23"
"cond-mat/9909059","Stephan Rosenkranz","S. Rosenkranz, R. Osborn (MSD, Argonne National Laboratory), L.
  Vasiliu-Doloc, J. W. Lynn (NIST Center for Neutron Research), S. K. Sinha
  (Advanced Photon Source), and J. F. Mitchell (MSD, Argonne National
  Laboratory)","Observation of Kosterlitz-Thouless spin correlations in the colossally
  magnetoresistive layered manganite $La_{1.2}Sr_{1.8}Mn_{2}O_{7}$","4 pages (RevTex), 3 embedded EPS figures",,,,"cond-mat.str-el",,"  The spin correlations of the bilayer manganite $La_{1.2}Sr_{1.8}Mn_{2}O_{7}$
have been studied using neutron scattering. On cooling within the paramagnetic
state, we observe purely two-dimensional behavior with a crossover to
three-dimensional scaling close to the ferromagnetic transition. Below $T_C$,
an effective finite size behavior is observed. The quantitative agreement of
these observations with the conventional quasi two-dimensional
Kosterlitz-Thouless model indicates that the phase transition is driven by the
growth of magnetic correlations, which are only weakly coupled to polarons
above $T_C$.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 20:11:49 GMT""}]","2007-05-23"
"cond-mat/9909060","Victor Kurasov","Victor Kurasov","Multicomponent nonisothermal nucleation. 2. Chapman-Enskog procedure","Latex",,,,"cond-mat.stat-mech",,"  The second part of the theory for the multicomponent nonisothermal nucleation
is presented. The solution of the kinetic equation already derived in the first
part is given with the help of the Chapman-Enskog procedure. At first the
relaxation stage is considered. The special choice of the relaxation operator
allows to refuse from the special small parameter usually required in the
nucleation problems. The special procedure allows to estimate the tails of the
approximations appeared in the reccurent procedures. The final formulas for
corrections allows to reduce the problem to the ordinary Fokker-Planck equation
in the nulticomponent case.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 20:40:37 GMT""}]","2007-05-23"
