"adap-org/9911004","Adam Ponzi","A.Ponzi and Y.Aizawa","Criticality and Punctuated Equilibrium in a Spin System Model of a
  Financial Market","15 pages, 7 figures, to appear in Chaos, Solitons and Fractals,
  rec.date 1999.3",,"10.1016/S0960-0779(99)00048-X",,"adap-org nlin.AO",,"  We describe a financial market model which shows a non-equilibrium phase
transition. Near the transition punctuated equilibrium behaviour is seen, with
avalanches occuring on all scales. This scaling is described by an exponent
very near 1. This system shows intermittent time development with bursts of
global synchronization reminiscent of a market rollercoaster.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 12:07:04 GMT""}]","2015-06-24"
"astro-ph/9911369","Jukka Nevalainen","J. Nevalainen (1 and 2), M. Markevitch (1 and 3), W.R. Forman (1) ((1)
  Harvard Smithsonian Center for Astrophysics, Cambridge, USA, (2) Observatory,
  University of Helsinki, Finland, (3) Space Research Institute, Russian Acad.
  of Sci., Russia)","The cluster M-T relation from temperature profiles observed with ASCA
  and ROSAT","8 pages, 2 figures, accepted by ApJ",,"10.1086/308608",,"astro-ph",,"  We calibrate the galaxy cluster mass - temperature relation using the
temperature profiles of intracluster gas observed with ASCA (for hot clusters)
and ROSAT (for cool groups). Our sample consists of apparently relaxed clusters
for which the total masses are derived assuming hydrostatic equilibrium. The
sample provides data on cluster X-ray emission-weighted cooling flow-corrected
temperatures and total masses up to r_1000. The resulting M-T scaling in the
1-10 keV temperature range is M_1000 = (1.23 +- 0.20)/h_50 10^15 Msun (T/10
keV)^{1.79 +- 0.14} with 90% confidence errors, or significantly (99.99%
confidence) steeper than the self-similar relation M propto T^{3/2}. For any
given temperature, our measured mass values are significantly smaller compared
to the simulation results of Evrard et al. (1996) that are frequently used for
mass-temperature scaling. The higher-temperature subsample (kT > 4 keV) is
consistent with M propto T^{3/2}, allowing the possibility that the
self-similar scaling breaks down at low temperatures, perhaps due to heating by
supernovae that is more important for low-temperature groups and galaxies as
suggested by earlier works.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 23:00:40 GMT""}]","2009-10-31"
"astro-ph/9911370","Andrew J. Bunker","Andrew Bunker (1,2) ((1) Department of Astronomy, University of
  California at Berkeley, USA, (2) Institute of Astronomy, University of
  Cambridge, UK)","Near-Infrared Emission Line Searches for High-Redshift Galaxies","Review talk given at the conference ""The Hy-Redshift Universe: Galaxy
  Formation and Evolution at High Redshift"", held in Berkeley, June 21-24,
  1999. Uses latex style file hyfestconf.sty (included). 10 EPS figures","Astronomical Society of the Pacific Conference Series Volume 193,
  p448-461, eds. A.J. Bunker & W.J.M. van Breugel",,,"astro-ph",,"  In this article I review recent developments in near-infrared emission line
searches for star-forming galaxies at high redshift. Using the J-, H- & K-bands
we can potentially chart the history of star formation over the range 1<z<5
using the prominent rest-optical nebular emission lines alone, filling in the
""redshift desert"" at z~1-3 where most common emission lines lie outside the
optical bands. Studying the rest-frame optical at z~2 also allows a fair
comparison to be made with the local Universe - the rest-optical lines are
vastly more robust to extinction by dust than the rest-UV, with the
resonantly-scattered Ly-alpha line particularly unreliable. I discuss the
recent history of near-infrared emission-line searches using narrow-band
imaging and spectroscopy, and look to the future in this era of 10-m
telescopes: such work gives us the potential to push to z>10, the next frontier
in the Hy-Redshift Universe.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 00:14:38 GMT""}]","2007-05-23"
"astro-ph/9911371","Leandro G. Althaus","J. A. Panei, L. G. Althaus, O. G. Benvenuto","Evolution of iron core white dwarfs","8 pages, 21 figures. Accepted for publication in MNRAS",,"10.1046/j.1365-8711.2000.03236.x",,"astro-ph",,"  Recent measurements made by Hipparcos (Provencal et al. 1998) present
observational evidence supporting the existence of some white dwarf (WD) stars
with iron - rich, core composition. In this connection, the present paper is
aimed at exploring the structure and evolution of iron - core WDs by means of a
detailed and updated evolutionary code. In particular, we examine the evolution
of the central conditions, neutrino luminosity, surface gravity,
crystallization, internal luminosity profiles and ages. We find that the
evolution of iron - rich WDs is markedly different from that of their carbon -
oxygen counterparts. In particular, cooling is strongly accelerated as compared
with the standard case. Thus, if iron WDs were very numerous, some of them
would have had time enough to evolve at lower luminosities than that
corresponding to the fall - off in the observed WD luminosity function.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 00:41:53 GMT""}]","2009-10-31"
"astro-ph/9911372","Frank C. van den Bosch","Frank C. van den Bosch, Brant E. Robertson, Julianne J. Dalcanton
  (University of Washington), and W.J.G de Blok (ATNF)","Constraints on the Structure of Dark Matter Halos from the Rotation
  Curves of Low Surface Brightness Galaxies","30 pages, 8 figures (postscript). Submitted to AJ. A version with
  full-resolution figures can be retrieved from
  http://www-hpcc.astro.washington.edu/faculty/vdbosch/vdBRDdB99.html","Astron.J.119:1579-1591,2000","10.1086/301315",,"astro-ph",,"  We re-examine the disk-halo decompositions of the rotation curves of low
surface brightness (LSB) galaxies with V_max > 80 km/s, taking full account of
the effects of beam smearing. We show that the rotation curves of these LSB
galaxies are, contrary to previous claims, consistent with dark halos with
steep central cusps in their density distribution. In fact, the spatial
resolution of the data is not sufficient to put any meaningful constraints on
the density profiles of their dark halos, or on cosmological parameters. This
has important implications for numerous claims made in the literature regarding
the halos of LSB galaxies, such as the self-similarity of their rotation
curves, and their inconsistency with certain cosmological models or with cold
dark matter altogether. Only in one case is the data of sufficient spatial
resolution to obtain reliable constraints on the slope of the central density
distribution of the dark matter halo. For this single case, we find a central
density cusp with a slope 0.55 < alpha < 1.26 at the 99.73 percent confidence
levels. This contrasts strongly with the results for two dwarf galaxies (V_max
< 70 km/s) that we analyze, which yield alpha < 0.5 at the same level of
confidence. This possibly suggests that halos with constant density cores are
restricted to low-mass systems. We show that violent outflows of baryonic
matter by supernovae feedback can reproduce this mass-dependence of halo cusp
slopes.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 01:17:13 GMT""}]","2008-11-26"
"astro-ph/9911374","T. Padmanabhan","T. Padmanabhan (Inter University Center for Astronomy and
  Astrophysics)","Aspects of Gravitational Clustering","70 pages, TeX (Style files included) [ Lectures given at IPM School
  on structure formation January 23 -February 5, 1999, Kish Island. To appear
  in proceedings, Large Scale Structure Formation. Editors: R. Mansouri and R.
  Brandenberger (Kluwer Academic Publishers, Dordrecht, 2000)]",,,"IUCAA Preprint No 43/99","astro-ph",,"  Several issues related to the gravitational clustering of collisionless dark
matter in an expanding universe is discussed. The discussion is pedagogical but
the emphasis is on semianalytic methods and open questions - rather than on
well established results.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 04:22:51 GMT""},{""version"":""v2"",""created"":""Sat, 20 Nov 1999 02:07:21 GMT""}]","2009-09-25"
"astro-ph/9911375","Han","Cheongho Han, Seong-Hong Park, Jang-Hae Jeong (Chungbuk National
  University, Korea)","Chromaticity of Gravitational Microlensing Events","total 18 pages, including 5 figures and no table, MNRAS, submitted","Mon.Not.Roy.Astron.Soc. 316 (2000) 97","10.1046/j.1365-8711.2000.03485.x",,"astro-ph",,"  In this paper, we investigate the color changes of gravitational microlensing
events caused by the two different mechanisms of differential amplification for
a limb-darkened extended source and blending. From this investigation, we find
that the color changes of limb-darkened extended source events (color curves)
have dramatically different characteristics depending on whether the lens
transits the source star or not. We show that for a source transit event, the
lens proper motion can be determined by simply measuring the turning time of
the color curve instead of fitting the overall color or light curves. We also
find that even for a very small fraction of blended light, the color changes
induced by the blending effect is equivalent to those caused by the
limb-darkening effect, causing serious distortion in the observed color curve.
Therefore, to obtain useful information about the lens and source star from the
color curve of a limb-darkened extended source event, it will be essential to
eliminate or correct for the blending effect. We discuss about the methods for
the efficient correction of the blending effect.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 05:37:18 GMT""}]","2009-10-31"
"astro-ph/9911376","Jon Bell","J. F. Bell (ATNF, Csiro)","Studying pulsars with the SKA and other new facilities","6 pages, to be published in proceedings of ""Pulsar Astronomy - 2000
  and Beyond"", ASP Conf. Ser",,,,"astro-ph",,"  The Square Kilometre Array (SKA) is a proposed next generation radio
telescope. Between now and 2005 this project is in a technology development and
prototyping phase, with construction likely to begin in $\sim 2010$. This paper
describes what the SKA may be like, its key features, the motivation for
building it and where you can access more details about it. Its is important to
see any new facility in context, so other new facilities are also discussed.
Avenues for future extensibility of the SKA other telescopes are covered, with
some emphasis on multiple beam systems. Some suggestions for useful pulsar
experiments and pulsar searches strategies are summarised. A conclusion is that
the SKA may not be the most cost effective way to search for pulsars and that a
128 beam receiver system on an Arecibo like telescope working between 1 and 5
GHz may be a more cost effective approach.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 06:17:49 GMT""}]","2007-05-23"
"astro-ph/9911377","Peter Schilke","Peter Schilke (1), David M. Mehringer (2) and Karl M. Menten (1) ((1)
  Max-Planck-Institut fuer Radioastronomie, (2) California Institute of
  Technology)","A Submillimeter HCN Laser in IRC+10216","11 pages, 3 figures",,"10.1086/312416",,"astro-ph",,"  We report the detection of a strong submillimeter wavelength HCN laser line
at a frequency near 805 GHz toward the carbon star IRC+10216. This line, the
J=9-8 rotational transition within the (04(0)0) vibrationally excited state, is
one of a series of HCN laser lines that were first detected in the laboratory
in the early days of laser spectroscopy. Since its lower energy level is 4200 K
above the ground state, the laser emission must arise from the inner part of
IRC+10216's circumstellar envelope. To better characterize this environment, we
observed other, thermally emitting, vibrationally excited HCN lines and find
that they, like the laser line, arise in a region of temperature approximately
1000 K that is located within the dust formation radius; this conclusion is
supported by the linewidth of the laser. The (04(0)0), J=9-8 laser might be
chemically pumped and may be the only known laser (or maser) that is excited
both in the laboratory and in space by a similar mechanism.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 09:15:35 GMT""}]","2009-10-31"
"astro-ph/9911378","Simon D. M. White","Simon D.M. White and Volker Springel","Where are the First Stars now?","9 pages, 3 figures. To appear in the proceedings of the 1999 MPA/ESO
  workshop ""The First Stars"" (eds A. Weiss, T. Abel and V. Hill)",,"10.1007/10719504_62",,"astro-ph",,"  We use high-resolution simulations to show that the current standard paradigm
for the growth of structure in the Universe predicts the formation of a galaxy
like our own to differ substantially from the classic ELS and Searle/Zinn
pictures. On scales larger than the Local Group, the earliest star formation
was extremely inhomogeneous, suggesting that the high redshift intergalactic
medium should have large-scale abundance variations. The very oldest stars
should be found today in the central regions of rich galaxy clusters. In the
Milky Way's bulge and stellar halo little correlation is expected between age
and metallicity. Some of the lowest metallicity stars may be relatively young.
Many of the oldest stars may have high metallicity. Spheroid stars were formed
before and during halo assembly, the oldest now lying preferentially at small
radii, while low metallicity stars lie preferentially at large radii. The bulk
of the Milky Way's stellar spheroid came from a small number of progenitors. It
should show little spatial structure in the inner 5 to 15 kpc, but consist at
each point of a superposition of hundreds of `cold' streams. Such streams have
been detected in the Solar neighborhood.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 11:13:33 GMT""}]","2009-10-31"
"astro-ph/9911379","Nicolas Grosso","Thierry Montmerle, Nicolas Grosso, Yohko Tsuboi, Katsuji Koyama","Rotation and X-ray emission from protostars","13 pages with 6 figures. To be published in ApJ (April 10, 2000 Part
  1 issue)",,"10.1086/308611",,"astro-ph",,"  The ASCA satellite has recently detected variable hard X-ray emission from
two Class I protostars in the rho Oph cloud, YLW15 (IRS43) and WL6, with a
characteristic time scale ~20h. In YLW15, the X-ray emission is in the form of
quasi-periodic energetic flares, which we explain in terms of strong magnetic
shearing and reconnection between the central star and the accretion disk. In
WL6, X-ray flaring is rotationally modulated, and appears to be more like the
solar-type magnetic activity ubiquitous on T Tauri stars. We find that YLW15 is
a fast rotator (near break-up), while WL6 rotates with a significantly longer
period. We derive a mass M_\star ~ 2 M_\odot and \simlt 0.4 M_\odot for the
central stars of YLW15 and WL6 respectively. On the long term, the interactions
between the star and the disk results in magnetic braking and angular momentum
loss of the star. On time scales t_{br} ~ a few 10^5 yrs, i.e., of the same
order as the estimated duration of the Class~I protostar stage. Close to the
birthline there must be a mass-rotation relation, t_{br} \simpropto M_\star,
such that stars with M_\star \simgt 1-2 M_\odot are fast rotators, while their
lower-mass counterparts have had the time to spin down. The rapid rotation and
strong star-disk magnetic interactions of YLW15 also naturally explain the
observation of X-ray ``superflares''. In the case of YLW15, and perhaps also of
other protostars, a hot coronal wind (T~10^6 K) may be responsible for the VLA
thermal radio emission. This paper thus proposes the first clues to the
rotation status and evolution of protostars.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 11:04:47 GMT""}]","2009-10-31"
