"adap-org/9911003","Liane Gabora","L. Gabora","Amplifying Phenomenal Information: Toward a Fundamental Theory of
  Consciousness","26 pages, 12 figures","Journal of Consciousness Studies 9(8):3-29 (2002)",,,"adap-org nlin.AO",,"  Fundamental approaches bypass the problem of getting consciousness from
non-conscious components by positing that consciousness is a universal
primitive. For example, the double aspect theory of information holds that
information has a phenomenal aspect. How then do you get from phenomenal
information to human consciousness? This paper proposes that an entity is
conscious to the extent it amplifies information, first by trapping and
integrating it through closure, and second by maintaining dynamics at the edge
of chaos through simultaneous processes of divergence and convergence. The
origin of life through autocatalytic closure, and the origin of an
interconnected worldview through conceptual closure, induced phase transitions
in the degree to which information, and thus consciousness, is locally
amplified. Divergence and convergence of cognitive information may involve
phenomena observed in light e.g. focusing, interference, and resonance. By
making information flow inward-biased, closure shields us from external
consciousness; thus the paucity of consciousness may be an illusion.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:59:19 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 12:47:05 GMT""}]","2007-05-23"
"astro-ph/9911154","Angela V. Olinto","Angela V. Olinto","Ultra High Energy Cosmic Ray Accelerators","8 pages, presented at ""Highly Energetic Physical Processes and
  Mechanisms for Emissions from Astrophysical Plasmas"", IAU Colloquium 195,
  P.C.H. Martens and S. Tsuruta (eds.)",,,,"astro-ph",,"  The surprising lack of a high energy cutoff in the cosmic ray spectrum at the
highest energies together with an apparently isotropic distribution of arrival
directions have strongly challenged most models proposed for the acceleration
of ultra high energy cosmic rays. Young neutron star winds may be able to
explain the mystery. We discuss this recent proposal after summarizing the
observational challenge and plausible acceleration sites. Young neutrons star
winds differ from alternative models in the predictions for composition,
spectrum, and angular distribution which will be tested in future experiments.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 20:58:48 GMT""}]","2007-05-23"
"astro-ph/9911155","Greg Ushomirsky","Lars Bildsten (1) and Greg Ushomirsky (2) ((1) ITP/UC Santa Barbara,
  (2) UC Berkeley)","Viscous Boundary Layer Damping of R-Modes in Neutron Stars","To appear in ApJ Letters (5 pages, 2 figures, uses emulateapj and
  natbib)",,"10.1086/312454",,"astro-ph gr-qc",,"  Recent work has raised the exciting possibility that r-modes (Rossby waves)
in rotating neutron star cores might be strong gravitational wave sources. We
estimate the effect of a solid crust on their viscous damping rate and show
that the dissipation rate in the viscous boundary layer between the oscillating
fluid and the nearly static crust is >10^5 times higher than that from the
shear throughout the interior. This increases the minimum frequency for the
onset of the gravitational r-mode instability to at least 500 Hz when the core
temperature is less than 10^10 K. It eliminates the conflict of the r-mode
instability with the accretion-driven spin-up scenario for millisecond radio
pulsars and makes it unlikely that the r-mode instability is active in
accreting neutron stars. For newborn neutron stars, the formation of a solid
crust shortly after birth affects their gravitational wave spin-down and hence
detectability by ground-based interferometric gravitational wave detectors.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 22:50:58 GMT""}]","2009-10-31"
"astro-ph/9911156","Bruce Elmegreen","Bruce G. Elmegreen (IBM Watson Research Center, NY)","Formation and loss of hierarchical structure in two-dimensional MHD
  simulations of wave-driven turbulence in interstellar clouds","40 pages, 12 figures, in press for Astrophysical Journal, Vol 527,
  Dec 10, 1999",,"10.1086/308073",,"astro-ph",,"  Two dimensional compressible magneto-hydrodynamical (MHD) simulations run for
20 crossing times on a 800x640 grid with two stable thermal states show
persistent hierarchical density structures and Kolmogorov turbulent motions in
the interaction zone between incoming non-linear Alfven waves. These structures
and motions are similar to what are commonly observed in weakly
self-gravitating interstellar clouds, suggesting that these clouds get their
fractal structures from non-linear magnetic waves generated in the intercloud
medium; no internal source of turbulent energy is necessary. The clumps in the
simulated clouds are slightly warmer than the interclump medium as a result of
magnetic dissipational and compressive heating. Thus the interclump medium has
a lower pressure than the clumps, demonstrating that the clumps owe their
existence to transient compressive motions, not pressure confinement. Clump
lifetimes increase with size, and are about one sound crossing time. Two
specific problems are addressed. We find that low ionization fractions in
molecular clouds do not necessarily lead to increased cloud smoothing, but that
enhanced density in a self-gravitating cloud does, because of external wave
self-shielding. Bulk cloud self-gravity may therefore promote star formation in
the relatively quiescent gas pools that contain a thermal Jeans mass or more.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 00:58:13 GMT""}]","2009-10-31"
"astro-ph/9911157","Bruce Elmegreen","Bruce G. Elmegreen (IBM Watson Research Center, NY)","The Specific Frequency of Globular Clusters in Galaxies","20 pages, to be published in ""Toward a New Millennium in Galaxy
  Morphology"" edited by D.L. Block, I. Puerari, A. Stockton and D. Ferreira
  (Kluwer, Dordrecht), 1999, from a conference in Johannseburg, South Africa,
  September 13-18, 1999","Astrophys.Space Sci. 269 (1999) 469-484","10.1023/A:1017094323836",,"astro-ph",,"  Variations in the number of globular clusters per unit galaxy luminosity,
which is the specific frequency, and the mass of globular clusters per unit
total available mass, are reviewed. Correlations with galaxy luminosity and
morphology, and with the properties of the associated galactic clusters are
discussed, as are the color distributions of globular cluster populations.
Several models for the origin of these variations are summarized, including the
tidal stripping and interaction/starburst models. Most of the variations in the
specific frequency for elliptical galaxies result from variations in the ratio
of total mass to light with a nearly constant efficiency for conversion of gas
into globular cluster mass. Smaller additional variations may come from tidal
stripping, particularly in cD galaxies.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 01:12:06 GMT""}]","2009-10-31"
"astro-ph/9911158","Felix Aharonian","F.A. Aharonian, A.M. Atoyan","On the origin of TeV radiation of SN 1006","To appear in Astron. Astrophys. (12 pages, 8 figures)","Astron.Astrophys.351:330-340,1999",,,"astro-ph",,"  We discuss the link between the nonthermal X-radiation and TeV gamma-ray
emission from SN 1006, and study the capabilities of both electronic and
nucleonic models for explanation of the TeV flux observed from the northeast
rim of SN 1006.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:11:05 GMT""}]","2008-11-26"
"astro-ph/9911159","Frank Haberl","F. Haberl (MPE, Garching), W. Pietsch (MPE, Garching) and C. Motch
  (Universite Strasbourg)","RX J0420.0-5022: An isolated neutron star candidate with evidence for
  22.7 s X-ray pulsations","5 pages, LaTex, 5 figures, Accepted for publication in A&A Letters",,,,"astro-ph",,"  We report the discovery of a new isolated neutron star candidate, RX
J0420.0-5022, showing evidence (4 sigma) for 22.7 s X-ray pulsations in ROSAT
data. NTT observations of the field around the soft X-ray source do not reveal
any likely optical counterpart brighter than B = 25.25 implying an X-ray to
optical flux ratio of >10^3.3 and ruling out other possible kinds of X-ray
emitters. The X-ray spectrum of RX J0420.0-5022 can be described with blackbody
emission with temperature kT of about 57 eV and four ROSAT detections are
consistent with no flux variations on time scales of years. The X-ray
pulsations, if confirmed, make RX J0420.0-5022 the second long-period isolated
neutron star candidate after RX J0720.4-3125. As for this latter source similar
conclusions about the magnetic field strength of the neutron star can be drawn
depending on evolutionary scenarios.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:25:25 GMT""}]","2007-05-23"
"astro-ph/9911160","Eli Waxman","M. Livio (STScI) and E. Waxman (Weizmann Inst.)","Towards a Model for the Progenitors of Gamma-Ray Bursts","13 pages; Submitted to ApJ","ApJ 538, 187 (2000)","10.1086/309120",,"astro-ph",,"  We consider models for gamma-ray bursts in which a collimated jet expands
either into a homogeneous medium or into a stellar wind environment, and
calculate the expected afterglow temporal behavior. We show that (i) following
a break and a faster decay, afterglows should exhibit a flattening, which may
be detectable in both the radio and optical bands; (ii) Only observations at
times much shorter than a day can clearly distinguish between a fireball
interacting with a homogeneous medium and one interacting with a stellar wind.
  Using our results we demonstrate that constraints can be placed on progenitor
models. In particular, existing data imply that while some long duration bursts
may be produced by collapses of massive stars, it is almost certain that not
all long duration bursts are produced by such progenitors.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:29:02 GMT""}]","2009-10-31"
"astro-ph/9911161","Walter Dehnen","Walter Dehnen (Oxford & MPIA Heidelberg)","The Effect of the Outer Lindblad Resonance of the Galactic Bar on the
  Local Stellar Velocity Distribution","14 pages, 10 figures (Fig.2 in full resolution available upon
  request), accepted for publication in AJ","Astron.J.119:800-812,2000","10.1086/301226",,"astro-ph",,"  Hydro-dynamical modeling of the inner Galaxy suggest that the radius of the
outer Lindblad resonance (OLR) of the Galactic bar lies in the vicinity of the
Sun. How does this resonance affect the distribution function in the outer
parts of a barred disk, and can we identify any effect of the resonance in the
velocity distribution f(v) actually observed in the solar neighborhood? To
answer these questions, detailed simulations of f(v) in the outer parts of an
exponential stellar disks with nearly flat rotation curves and a rotating
central bar have been performed. For a model resembling the old stellar disk,
the OLR causes a distinct feature in f(v) over a significant fraction of the
outer disk. For positions <2kpc outside the OLR radius and at bar angles of
\~10-70 degrees, f(v) inhibits a bi-modality between the low-velocity stars
moving like the local standard of rest (LSR) and a secondary mode of stars
predominantly moving outward and rotating more slowly than the LSR.
  Such a bi-modality is indeed present in f(v) inferred from the Hipparcos data
for late-type stars in the solar neighborhood. If one interpretes this observed
bi-modality as induced by the OLR -- and there are hardly any viable
alternatives -- then one is forced to deduce that the OLR radius is slightly
smaller than Ro. Moreover, by a quantitative comparison of the observed with
the simulated distributions one finds that the pattern speed of the bar is
1.85+/-0.15 times the local circular frequency, where the error is dominated by
the uncertainty in bar angle and local circular speed.
  Also other, less prominent but still significant, features in the observed
f(v) resemble properties of the simulated velocity distributions, in particular
a ripple caused by orbits trapped in the outer 1:1 resonance.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:33:18 GMT""}]","2009-05-29"
"astro-ph/9911162","Bruno Guiderdoni","B. Guiderdoni (IAP), J.E.G. Devriendt (IAP)","The spectral appearance of primeval galaxies","10 pages, Latex, 8 postscript figures, to be published in the
  Proceedings of the meeting ``Clustering at High Redshift'', ASP Conference
  Series",,,,"astro-ph",,"  The current and forthcoming observations of large samples of high-redshift
galaxies selected according to various photometric and spectroscopic criteria
can be interpreted in the context of galaxy formation, by means of models of
evolving spectral energy distributions (SEDs). We hereafter present STARDUST
which gives synthetic SEDs from the far UV to the submm wavelength range. These
SEDs are designed to be implemented into semi-analytic models of galaxy
formation.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:52:40 GMT""}]","2007-05-23"
"astro-ph/9911163","Elena Amato","E. Amato, M. Salvati, R. Bandiera, F. Pacini, L. Woltjer","A model for the spatial distribution of relativistic electrons in the
  Crab Nebula","7 pages, 7 figures, submitted to A&A",,,,"astro-ph",,"  We extend Pacini & Salvati's model for the synchrotron emission from plerions
to allow more realistic predictions of the surface brightness profiles of the
Crab Nebula at radio, optical and X-ray frequencies. Abandoning the assumption
of a uniform particle distribution, we assume that particles are injected into
the synchrotron nebula only in the vicinity of the pulsar. Their distribution
is then determined, to zeroth order, by MHD propagation in an azimuthal
magnetic field of spatially constant but time-dependent intensity. A good
agreement with observations across the electromagnetic spectrum is obtained if
the finite extension of the particle injection region and particle diffusion
with respect to the azimuthal field lines are taken into account.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:33:48 GMT""},{""version"":""v2"",""created"":""Tue, 23 May 2000 15:53:49 GMT""}]","2007-05-23"
"astro-ph/9911164","Kaori Otsuki","Kaori Otsuki, Hideyuki Tagoshi, Toshitaka Kajino, and Shin-ya Wanajo","General relativistic effects on neutrino-driven wind from young, hot
  neutron star and the r-process nucleosynthesis","Accepted for publication in ApJ",,"10.1086/308632",,"astro-ph",,"  Neutrino-driven wind from young hot neutron star, which is formed by
supernova explosion, is the most promising candidate site for r-process
nucleosynthesis. We study general relativistic effects on this wind in
Schwarzschild geometry in order to look for suitable conditions for a
successful r-process nucleosynthesis. It is quantitatively discussed that the
general relativistic effects play a significant role in increasing entropy and
decreasing dynamic time scale of the neutrino-driven wind. Exploring wide
parameter region which determines the expansion dynamics of the wind, we find
interesting physical conditions which lead to successful r-process
nucleosynthesis. The conditions which we found realize in the neutrino-driven
wind with very short dynamic time scale $\tau_{\rm dyn} \sim 6$ ms and
relatively low entropy $S \sim 140$. We carry out the $\alpha$-process and
r-process nucleosynthesis calculation on these conditions by the use of our
single network code including over 3000 isotopes, and confirm quantitatively
that the second and third r-process abundance peaks are produced in the
neutrino-driven wind.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 12:13:00 GMT""},{""version"":""v2"",""created"":""Thu, 11 Nov 1999 04:53:05 GMT""}]","2019-08-17"
"astro-ph/9911165","Ulrich R. M. E. Geppert","K.-H. Raedler, U. Geppert (Astrophysikalisches Institut Potsdam)","Turbulent dynamo action in the high-conductivity limit: a hidden dynamo","13 pages, 3 figures","ASP Conference Series, Vol. 178, 199, p. 151",,,"astro-ph",,"  The paper deals with a simple spherical mean-field dynamo model of
$\alpha^2$-type in the case of high electrical conductivity. A spherically
symmetric distribution of turbulent motions is assumed inside a spherical fluid
body surrounded by free space, and some complete form of the corresponding mean
electromotive force is taken into account. For a turbulence lacking
reflectional symmetry finite growth rates of magnetic fields prove to be
possible even in the limit of perfect conductivity, that is, the model
corresponds to a fast dynamo. In accordance with the theorem by Bondi and Gold
the dynamo-generated field is completely confined in the fluid body.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:42:08 GMT""}]","2007-05-23"
