"adap-org/9907004","Klaus Behrndt","Andreas Schaale","A dynamical model of non regulated markets","12 pages LaTeX, 4 ps figures, Contact: Schaale@snafu.de",,,"IfH-DESY Seminar Report 12-22-1998","adap-org nlin.AO",,"  The main focus of this work is to understand the dynamics of non regulated
markets. The present model can describe the dynamics of any market where the
pricing is based on supply and demand. It will be applied here, as an example,
for the German stock market presented by the Deutscher Aktienindex (DAX), which
is a measure for the market status. The duality of the present model consists
of the superposition of the two components - the long and the short term
behaviour of the market. The long term behaviour is characterised by a stable
development which is following a trend for time periods of years or even
decades. This long term growth (or decline) is based on the development of
fundamental market figures. The short term behaviour is described as a
dynamical evaluation (trading) of the market by the participants. The trading
process is described as an exchange between supply and demand. In the framework
of this model there the trading is modelled by a system of nonlinear
differential equations. The model also allows to explain the chaotic behaviour
of the market as well as periods of growth or crashes.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 19:54:35 GMT""}]","2007-05-23"
"astro-ph/9907218","Takashi Nakamura","Takashi Nakamura (Yukawa Institute for Theoretical Physics)","Off-axis Emission from the Beamed Afterglow of Gamma Ray Bursts and a
  Possible Interpretation of Slowly Declining X-Ray Afterglow of GRB980425","7 pages, Latex, accepted for publication in the Astrophysical Journal
  Letters",,"10.1086/312235","YITP-99-44","astro-ph",,"  A formula for off-axis emissions from the beamed afterglow of GRBs in a
synchrotron model is derived. The formula is applied to an inhomogeneous
circumstellar matter obeying n proportional to 1/r**2 suggested for
SN1998bw/GRB980425. The slow decline rate as well as the X-ray flux similar to
the observed values are obtained for appropriate choice of the parameters so
that the association of GRB980425 with SN1998bw is further strengthened.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 02:50:27 GMT""}]","2009-10-31"
"astro-ph/9907219","Halton Arp","Eric Flesch (1) and Halton Arp (2) ((1) Nelson, New Zealand, (2)
  Max-Planck-Institut fuer Astrophysik, Garching, Germany)","Further Evidence that Some Quasars Originate in Nearby Galaxies: NGC3628","4 pages, 3 postscript figures, A&A letters (submitted)",,,,"astro-ph",,"  NGC3628 is a well-studied starburst/low level AGN galaxy in the Leo Triplet
noted for its extensive outgassed plumes of neutral hydrogen. Catalogued QSOs
are shown to be concentrated around NGC3628 and aligned with HI plumes. The
chance that the three nearest quasars would accidentally fall as close as they
do is <= 0.01. The nearest quasar has a redshift of z = 2.15 and is at the tip
of an X-ray filament emerging along the minor axis plume. Location at this
point has an accidental probability of ~ 2x10^{-4}. In addition an unusual
optical filament also points directly at this quasar.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 08:21:35 GMT""}]","2007-05-23"
"astro-ph/9907220","Weihsueh A. Chiu","Weihsueh A. Chiu(1,2) and Jeremiah P. Ostriker(1) ((1) Princeton, (2)
  U.S. GAO)","A Semi-Analytic Model for Cosmological Reheating and Reionization Due to
  the Gravitational Collapse of Structure","Submitted to ApJ; 57 pages, including 17 figures, uses aastex 5.0",,"10.1086/308780",,"astro-ph",,"  We present a semi-analytic model for the thermal and ionization history of
the universe at 1000 >~ z >~ 3. This model incorporates much of the essential
physics included in full-scale hydrodynamical simulations, such as (1)
gravitational collapse and virialization; (2) star/quasar formation and
subsequent ionizing radiation; (3) heating and cooling; (4) atomic and
molecular physics of hydrogen; and (5) the feedback relationships between these
processes. In addition, we model the process of reheating and reionization
using two separate phases, self-consistently calculating the filling factor of
each phase. Thus radiative transfer is treated more accurately than simulations
to date have done: we allow to lowest order for both the inhomogeneity of the
sources and the sinks of radiation. After calibrating and checking the results
of this model against a hydrodynamical simulation, we apply our model to a
variety of Gaussian and non-Gaussian CDM-dominated cosmological models. Our
major conclusions include: (1) the epoch of reheating depends most strongly on
the power spectrum of density fluctuations at small scales; (2) because of the
effects of gas clumping, full reionization occurs at z ~ 10 in all models; (3)
the CMBR polarization and the stars and quasars to baryons ratio are strong
potential discrimants between different assumed power spectra; (4) the
formation of galactic spheroids may be regulated by the evolution of reheating
through feedback, so that the Jeams mass tracks the non-linear mass scale; and
(5) the evolution of the bias of luminous objects can potentially discriminate
strongly between Gaussian and non-Gaussian PDFs.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 10:29:51 GMT""}]","2009-10-31"
"astro-ph/9907221","Hannu Kurki-Suonio","Kari Enqvist, Hannu Kurki-Suonio (Helsinki)","Constraining Isocurvature Fluctuations with the Planck Surveyor","6 pages, 4 figures, revtex","Phys.Rev.D61:043002,2000","10.1103/PhysRevD.61.043002","HIP-1999-43/TH","astro-ph hep-ph",,"  We consider the detection possibilities of isocurvature fluctuations in the
future CMB satellite experiments MAP and Planck for different cosmological
reference models. We present a simultaneous 10 parameter fit (8 for the case of
open model) to determine the correlations between the cosmological parameters,
including isocurvature cold dark matter contribution to the anisotropy.
Assuming that polarization information can be fully exploited, we find that an
isocurvature perturbation can be detected by the Planck Surveyor if the ratio
of the initial isocurvature and adiabatic perturbation amplitude is larger than
0.07. In the absence of polarization data, the signal from isocurvature
perturbations can be confused with tensor perturbations or early reionization
effects, and the limit is larger by almost an order of magnitude.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 10:49:23 GMT""}]","2009-12-30"
"astro-ph/9907222","Luca Amendola","Luca Amendola, Stefano Corasaniti, Franco Occhionero","Time variability of the gravitational constant and Type Ia supernovae","7 pages, including 4 figures, revtex",,,,"astro-ph",,"  We investigate to which extent a time variation of the gravitational constant
or other fundamental constants affects the best fit of the Hubble diagram of
type Ia supernovae. In particular, we show that a slow increase of $G$ in the
past, below experimental constraints, can reconcile the SNe Ia observations
with an open zero-$\Lambda$ universe.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:44:07 GMT""}]","2007-05-23"
"astro-ph/9907223","Anne M. Green","Anne M. Green and James E. Lidsey","Generalized Compactification and Assisted Dynamics of Multi--Scalar
  Field Cosmologies","4 pages, latex file. Version to appear in Phys. Rev. D. Argument
  showing that the solution found is the unique late time attractor added,
  reorganised contents and new title","Phys.Rev. D61 (2000) 067301","10.1103/PhysRevD.61.067301",,"astro-ph gr-qc hep-ph",,"  Cosmological models arising from a generalized compactification of Einstein
gravity are derived. It is shown that a redefinition of the moduli fields
reduces the system to a set of massless fields and a single field with a single
exponential potential, independent of the background spacetime. This solution
is the unique late--time attractor for an arbitrary spacetime dimensionality.
We find that if the number of dimensions is greater than or equal to seven, the
scalar fields dominate a relativistic fluid and therefore constitute a
potential `moduli' problem.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:53:20 GMT""},{""version"":""v2"",""created"":""Mon, 13 Dec 1999 17:12:10 GMT""}]","2009-10-31"
"astro-ph/9907224","Andrew Liddle","Antonio C da Silva, Domingos Barbosa, Andrew R Liddle and Peter A
  Thomas","Hydrodynamical simulations of the Sunyaev--Zel'dovich effect","9 pages LaTeX file with eleven figures (including four in colour)
  incorporated (uses mn.sty and epsf). Further colour images and animations at
  http://star-www.cpes.susx.ac.uk/~andrewl/sz/sz.html Updated to match
  published version","Mon.Not.Roy.Astron.Soc. 317 (2000) 37","10.1046/j.1365-8711.2000.03553.x",,"astro-ph",,"  We use a hydrodynamical N-body code to generate simulated maps, of size one
square degree, of the thermal SZ effect. We study three different cosmologies;
the currently-favoured low-density model with a cosmological constant, a
critical-density model and a low-density open model. We stack simulation boxes
corresponding to different redshifts in order to include contributions to the
Compton y-parameter out to the highest necessary redshifts. Our main results
are:
  1. The mean y-distortion is around $4 \times 10^{-6}$ for low-density
cosmologies, and $1 \times 10^{-6}$ for critical density. These are below
current limits, but not by a wide margin in the former case.
  2. In low-density cosmologies, the mean y-distortion comes from a broad range
of redshifts, the bulk coming from $z < 2$ and a tail out to $z \sim 5$. For
critical-density models, most of the contribution comes from $z < 1$.
  3. The number of SZ sources above a given $y$ depends strongly on instrument
resolution. For a one arcminute beam, there is around 0.1 sources per square
degree with $y > 10^{-5}$ in a critical-density Universe, and around 8 such
sources per square degree in low-density models. Low-density models with and
without a cosmological constant give very similar results.
  4. We estimate that the {\sc Planck} satellite will be able to see of order
25000 SZ sources if the Universe has a low density, or around 10000 if it has
critical density.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 13:40:57 GMT""},{""version"":""v2"",""created"":""Thu, 16 Dec 1999 15:25:11 GMT""},{""version"":""v3"",""created"":""Tue, 23 May 2000 16:10:33 GMT""}]","2016-08-30"
"astro-ph/9907225","Pawel Haensel","E. Gourgoulhon (1), P. Haensel (1,2), R. Livine (3), E. Paluch (3), S.
  Bonazzola (1), J.A. Marck (1) ((1) DARC, Observatoire de Paris - Section de
  Meudon, France (2) N. Copernicus Astronomical Center, Warszawa, Poland (3)
  Ecole Normale Superieure de Lyon, France)","Fast rotation of strange stars","13 pages, 7 figures, latex, uses aa.cls, epsf.tex, to be published in
  Astronomy and Astrophysics","Astron.Astrophys.349:851,1999",,,"astro-ph gr-qc",,"  Exact models of uniformly rotating strange stars, built of self bound quark
matter, are calculated within the framework of general relativity. This is made
possible thanks to a new numerical technique capable to handle the strong
density discontinuity at the surface of these stars. Numerical calculations are
done for a simple MIT bag model equation of state of strange quark matter.
Evolutionary sequences of models of rotating strange stars at constant baryon
mass are calculated. Maximally rotating configurations of strange stars are
determined, assuming that the rotation frequency is limited by the mass
shedding and the secular instability with respect to axisymmetric
perturbations. Exact formulae which give the dependence of the maximum rotation
frequency, and of the maximum mass and corresponding radius of rotating
configurations, on the value of the bag constant, are obtained. The values of
T/W for rapidly rotating massive strange stars are significantly higher than
those for ordinary neutron stars. This might indicate particular susceptibility
of rapidly rotating strange stars to triaxial instabilities.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:20:26 GMT""}]","2010-11-19"
"astro-ph/9907226","Hector Aceves","Hector Aceves (IAA, Granada)","Triplets of Galaxies: Some Dynamical Aspects","4 pages with 2 figures. Contribution to the IAU Colloquium 174 ""Small
  Galaxy Groups"", held at Turku on June 1999. Includes PASP Conference LaTex
  style. Table of Results has been changed, conclusions not altered",,,,"astro-ph",,"  We present a study of the dynamics of triplets of galaxies. In particular we
focus on properties that are directly comparable with observations: e.g.,
velocity dispersion, mean harmonic radius, and virial mass. We find, for
example, that the median velocity dispersion of our simulations is smaller (<50
km/s) than the observed value (~100 km/s). A possible solution to this
discrepancy is to consider triplets as non-isolated systems; e.g. subject to a
tidal perturbation from a poor cluster in a Hubble time. We suggest that the
dynamics of triplets is intimately linked to the large-scale structure, and
evolution, of the universe.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:20:01 GMT""},{""version"":""v2"",""created"":""Tue, 12 Oct 1999 14:46:45 GMT""}]","2007-05-23"
"astro-ph/9907227","Lutz Wisotzki","L. Wisotzki (1), N. Christlieb (1), M.C. Liu (2), J. Maza(3), N.D.
  Morgan (4), P.L. Schechter (4) ((1) Hamburger Sternwarte, (2) Berkeley, (3)
  Univ. de Chile, (4) MIT)","The new complex gravitational lens system HE 0230-2130","4 pages, accepted by A&A, Letters to the Editor",,,,"astro-ph",,"  We report the discovery of the new gravitational lens system HE~0230$-$2130,
a QSO at redshift $z=2.162$ consisting of at least five distinct components.
Three of these are clearly lensed images of the QSO, one is most likely the
lensing galaxy, while for the fifth component the identity is unclear: It could
be a fourth QSO image (if so, then highly reddened), or another intervening
galaxy, or a superposition of the two. Differential reddening seems to be
important also for the first three QSO images. The surface density of faint
galaxies near the QSO appears to be enhanced by a factor of $\ga 2$, indicating
the presence of a distant cluster close to the line of sight.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:23:58 GMT""}]","2007-05-23"
"astro-ph/9907228","Yuri Izotov","Y. I. Izotov (1), F. H. Chaffee (2), C. B. Foltz (3), R. F. Green (4),
  N. G. Guseva (1), T. X. Thuan (5) ((1) Main Astronomical Observatory, Kiev,
  Ukraine, (2) W. M. Keck Observatory, Hawaii, USA, (3) Multiple Mirror
  Telescope Observatory, Tucson, USA, (4) National Optical Astronomy
  Observatories, Tucson, USA, (5) University of Virginia, Charlottesville, USA)","Helium abundance in the most metal-deficient blue compact galaxies: I Zw
  18 and SBS 0335-052","28 pages, 10 figures. To appear in ApJ","Astrophys.J.527:757-777,1999","10.1086/308119",,"astro-ph",,"  We present high-quality spectroscopic observations of the two most-metal
deficient blue compact galaxies known, I Zw 18 and SBS 0335-052 to determine
the helium abundance. The underlying stellar absorption strongly influences the
observed intensities of He I emission lines in the brightest NW component of I
Zw 18, and hence this component should not be used for primordial He abundance
determination. The effect of underlying stellar absorption, though present, is
much smaller in the SE component. Assuming all systematic uncertainties are
negligible, the He mass fraction derived in this component is Y =
0.243+/-0.007. The high signal-to-noise ratio spectrum (> 100 in the continuum)
of SBS 0335-052 allows us to measure the helium mass fraction with a precision
better than 2% -- 5% in nine different regions along the slit. Assuming all
systematic uncertainties are negligible, the weighted mean He mass fraction in
SBS 0335-052 is Y = 0.2437+/-0.0014 when the three He I 4471, 5876 and 6678
emission lines are used, and is 0.2463+/-0.0015 when the He I 4471 emission
line is excluded. The weighted mean helium mass fraction in the two most
metal-deficient BCGs I Zw 18 and SBS 0335-052, Y=0.2462+/-0.0015, after
correction for the stellar He production results in a primordial He mass
fraction Yp = 0.2452+/-0.0015. The derived Yp leads to a baryon-to-photon ratio
of (4.7+/-1.0) 10^{-10}, consistent with the values derived from the primordial
D and 7Li abundances, and supporting the standard big bang nucleosynthesis
theory. For the most consistent set of primordial D, 4He, and 7Li abundances we
derive an equivalent number of light neutrino species 3.0+/-0.3 (95% C.L.).
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:43:41 GMT""}]","2014-10-13"
"chao-dyn/9907021","Clifford Tureman Lewis","Clifford Tureman Lewis, Henry D. I. Abarbanel, Matthew B. Kennel,
  Michael Buhl, and Lucas Illing (all: Institute for Nonlinear Science, UC San
  Diego)(HDIA: Marine Physical Laboratory, Scripps Institution of Oceanography)","Synchronization of chaotic oscillations in doped fiber ring lasers","37 pages, 25 encapsulated postscript figures, 1 table. To be
  submitted to Phys. Rev. E",,"10.1103/PhysRevE.63.016215","INLS preprint 7/1999","chao-dyn nlin.CD",,"  We investigate synchronization and subsequently communication using chaotic
rare-earth-doped fiber ring lasers, represented by a physically realistic
model. The lasers are coupled by transmitting a fraction c of the circulating
electric field in the transmitter and injecting it into the optical cavity of
the receiver. We then analyze a coupling strategy which relies on modulation of
the intensity of the light alone. This avoids problems associated with the
polarization and phase of the laser light.
  We study synchronization as a function of the coupling strength and see
excellent convergence, even with small coupling constants. We prove that in an
open-loop configuration (c=1) synchronization is guaranteed due to the
particular structure of our equations and of the injection method we use for
these coupled laser systems. We also analyze the generalized synchronization of
these model lasers when there is parameter mismatch between the transmitter and
the receiver.
  We then address communicating information between the transmitter and
receiver lasers by modulation of the chaotic optical waveform.
  Finally we comment on the cryptographic setting of our algorithms, especially
the open-loop strategy at c=1, and hope this may lead others to perform the
cryptographic analyses to determine which, if any, of the communications
strategies we investigate are secure.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 20:41:19 GMT""}]","2021-05-26"
