"adap-org/9906001","Yi Li","Yi Li (1 and 2), Rick Riolo (1), Robert Savit (1 and 2) ((1) Program
  for Study of Complex Systems, U of Michigan (2) Physics Department, U of
  Michigan)","Evolution in Minority Games II. Games with Variable Strategy Spaces","18 pages text, 8 figures. Postscript from msword for text, from
  matlab for figures",,"10.1016/S0378-4371(99)00435-5","PSCS-99-05-001","adap-org nlin.AO",,"  We continue our study of evolution in minority games by examining games in
which agents with poorly performing strategies can trade in their strategies
for new ones from a different strategy space. In the context of the games
discussed in this paper, this means allowing for strategies that use
information from different numbers of time lags, m. We find, in all the games
we study, that after evolution, wealth per agent is high for agents with
strategies drawn from small strategy spaces (small m), and low for agents with
strategies drawn from large strategy spaces (large m). In the game played with
N agents, wealth per agent as a function of m is very nearly a step function.
The transition is at m=mt, where mt~mc-1. Here mc is the critical value of m at
which N agents playing the game with a fixed strategy space (fixed m) have the
best emergent coordination and the best utilization of resources. We also find
that overall system-wide utilization of resources is independent of N.
Furthermore, although overall system-wide utilization of resources after
evolution varies somewhat depending on some other aspects of the evolutionary
dynamics, in the best cases, utilization of resources is on the order of the
best results achieved in evolutionary games with fixed strategy spaces. Simple
explanations are presented for some of our main results.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 21:54:17 GMT""}]","2009-10-31"
"astro-ph/9905388","Chris J. Willott","Chris J. Willott, Steve Rawlings, Katherine M. Blundell and Mark Lacy","The emission line - radio correlation for radio sources using the 7C
  Redshift Survey","20 pages, 7 figures, to be published in MNRAS","Mon.Not.Roy.Astron.Soc. 309 (1999) 1017-1033","10.1046/j.1365-8711.1999.02907.x",,"astro-ph",,"  We have used narrow emission line data from the new 7C Redshift Survey to
investigate correlations between the narrow-line luminosities and the radio
properties of radio galaxies and steep-spectrum quasars. The 7C Redshift Survey
is a low-frequency (151 MHz) selected sample with a flux-density limit about
25-times fainter than the 3CRR sample. By combining these samples, we can for
the first time distinguish whether the correlations present are controlled by
151 MHz radio luminosity L_151 or redshift z. We find unequivocal evidence that
the dominant effect is a strong positive correlation between narrow line
luminosity L_NLR and L_151, of the form L_NLR proportional to L_151 ^ 0.79 +/-
0.04. Correlations of L_NLR with redshift or radio properties, such as linear
size or 151 MHz (rest-frame) spectral index, are either much weaker or absent.
We use simple assumptions to estimate the total bulk kinetic power Q of the
jets in FRII radio sources, and confirm the underlying proportionality between
jet power and narrow line luminosity first discussed by Rawlings & Saunders
(1991). We make the assumption that the main energy input to the narrow line
region is photoionisation by the quasar accretion disc, and relate Q to the
disc luminosity, Q_phot. We find that 0.05 < Q / Q_phot < 1 so that the jet
power is within about an order of magnitude of the accretion disc luminosity.
The most powerful radio sources are accreting at rates close to the Eddington
limit of supermassive black holes (~ 10^9 - 10^10 solar masses), whilst lower
power sources are accreting at sub-Eddington rates.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 12:46:01 GMT""}]","2009-10-31"
"astro-ph/9905389","Peter Lundqvist","P. Lundqvist, J. Sollerman, C. Kozma, B. Larsson, J. Spyromilio,
  A.P.S. Crotts, J. Danziger and D. Kunze","ISO SWS/LWS observations of SN 1987A","8 pages A&A format (including 2 figures). A&A, in press",,,,"astro-ph",,"  We report on observations of SN 1987A with ISO SWS/LWS made 9 - 11 years
after the explosion. No emission from the supernova was seen. In particular,
the upper limits on the fluxes of [Fe I] 24.05 microns and [Fe II] 25.99
microns on day 3999 are roughly 1.1 Jy and 1.4 Jy, respectively. Assuming a
homogeneous distribution of Ti-44 inside 2000 km/s, we have made theoretical
models to estimate the mass of ejected Ti-44. Assessing various uncertainties
of the model, we obtain an upper limit of 1.5\EE{-4} solar masses. The
implications of this are discussed.
  The LWS data display continuum emission as well as nebular lines of [O I], [C
II] and [O III] from neighboring photoexcited regions in the LMC. The [O III]
lines indicate an electron density of 120 +/- 75 cm^{-3}, and the continuum can
be explained by dust with a temperature of roughly 37 K. A second dust
component with approximately 10 K may also be present.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 15:08:39 GMT""}]","2007-05-23"
"cond-mat/9905424","Alloul","H. Alloul, J. Bobroff, A. Mahajan, P. Mendels and Y. Yoshinari","NMR studies of the original magnetic properties of cuprates: effect of
  impurities and defects","11 pages, 5 figures, Miami conference",,"10.1063/1.59613",,"cond-mat.supr-con cond-mat.str-el",,"  Substitutional impurities in the CuO2 planes of the cuprates allow us to
probe the electronic properties of the host material. The pseudo-gap in the
underdoped regime is unmodified far from the impurities even though Tc is
greatly reduced. The spin polarisation induced by magnetic impurities has an
oscillatory behaviour reflecting the existing AF correlations between the Cu
spins. Its influence on the NMR spectra opens a way to determine the q
dependence of the static spin susceptibility and the T dependence of the AF
correlation length. NMR measurements demonstrate that non-magnetic impurities
such as Zn induce a local moment behaviour on the neighbouring Cu sites. This
magnetism revealed by spin-less sites can be understood on theoretical grounds
in the case of undoped quantum spin systems, while here the carriers greatly
complicate the situation. Susceptibility data show that the magnitude of the
local moment decreases with increasing hole doping. This experimental evidence
directly reflects the influence of AF correlations and the interference between
the carriers and the Cu hole spins in the cuprates. The anomalously large
scattering of the carriers on spinless defects is another indication of the
originality of the electronic properties of the cuprates, which apparently
extends even to the overdoped regime.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 17:10:07 GMT""}]","2009-10-31"
"cond-mat/9905425","Michael G. Moore","M. G. Moore and P. Meystre","Theory of superradiant scattering of laser light from Bose-Einstein
  condensates","Updated version with new figures,a numerical simulation with
  realistic experimental parameters is now included. Featured in September 1999
  Physics Today, in Search and Discovery section",,"10.1103/PhysRevLett.83.5202",,"cond-mat",,"  In a recent MIT experiment, a new form of superradiant Rayleigh scattering
was observed in Bose-Einstein condensates. We present a detailed theory of this
phenomena in which the directional dependence of the scattering rate and
condensate depletion lead to mode competition which is ultimately responsible
for superradiance. The nonlinear response of the system is highly sensitive to
initial quantum fluctuations which cause large run to run variations in the
observed superradiant pulses.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 22:28:14 GMT""},{""version"":""v2"",""created"":""Fri, 10 Sep 1999 23:58:24 GMT""}]","2009-10-31"
"cond-mat/9905426","Anatoly Kuklov","A.B. Kuklov, B.V. Svistunov","Testing quantum correlations in a confined atomic cloud by scattering
  fast atoms: Direct and time reversed processes","4 pages, (RevTeX)",,,,"cond-mat.soft cond-mat.stat-mech",,"  We suggest measuring the one-particle density matrix of a trapped ultracold
atomic cloud by scattering fast atoms in a pure momentum state off the cloud.
The lowest-order probability for the process, resulting in a pair of outcoming
fast atoms for each incoming one, as well as of its time reversed counterpart,
turns out to be given by the Fourier transform of the density matrix.
Accordingly, important information about quantum correlations can be deduced
directly from the differential scattering cross-section of these processes.
Several most interesting cases of scattering - from a single condensate
containing a vortex, and from a split condensate characterized by some phase
difference - are discussed.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 00:33:11 GMT""}]","2007-05-23"
"cond-mat/9905427","Kontani Hiroshi","Hiroshi Kontani, Kazuki Kanki and Kazuo Ueda","Hall Effect and Resistivity in High-Tc Superconductors: The Conserving
  Approximation","19 pages, to appear in Phys. Rev. B, No.59, Vol.22, 1999",,"10.1103/PhysRevB.59.14723",,"cond-mat.supr-con",,"  The Hall coefficient (R_H) of high-Tc cuprates in the normal state shows the
striking non-Fermi liquid behavior: R_H follows a Curie-Weiss type temperature
dependence, and |R_H|>>1/|ne| at low temperatures in the under-doped compounds.
Moreover, R_H is positive for hole-doped compounds and is negative for
electron-doped ones, although each of them has a similar hole-like Fermi
surface. In this paper, we give the explanation of this long-standing problem
from the standpoint of the nearly antiferromagnetic (AF) Fermi liquid. We
consider seriously the vertex corrections for the current which are
indispensable to satisfy the conservation laws, which are violated within the
conventional Boltzmann transport approximation. The obtained total current J_k
takes an enhanced value and is no more perpendicular to the Fermi surface due
to the strong AF fluctuations. By virtue of this mechanism, the anomalous
behavior of R_H in high-Tc cuprates is neutrally explained. We find that both
the temperature and the (electron, or hole) doping dependences of R_H in
high-T_c cuprates are reproduced well by numerical calculations based on the
fluctuation-exchange (FLEX) approximation, applied to the single-band Hubbard
model. We also discuss the temperature dependence of R_H in other nearly AF
metals, e.g., V_2O_3, kappa-BEDT-TTF organic superconductors, and heavy fermion
systems close to the AF phase boundary.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 06:19:11 GMT""}]","2009-10-31"
"cond-mat/9905428","Kontani Hiroshi","Kazuki Kanki and Hiroshi Kontani","Theory of Hall Effect and Electrical Transport in High-Tc Cuprates:
  Effects of Antiferromagnetic Spin Fluctuations","15 pages, to appear in J. Phys. Soc. Jpn. No.68, Vol.5, 1999",,"10.1143/JPSJ.68.1614",,"cond-mat.supr-con",,"  In the normal state of high-Tc cuprates, the Hall coefficient shows
remarkable temperature dependence, and its absolute value is enhanced in
comparison with that value simply estimated on the basis of band structure. It
has been recognized that this temperature dependence of the Hall coefficient is
due to highly anisotropic quasiparticle damping rate on the Fermi surface. In
this paper we further take account of the vertex correction to the current
vertex arising from quasiparticle interactions. Then the transport current is
transformed to a large extent from the quasiparticle velocity, and is no longer
proportional to the latter. As a consequence some pieces of the Fermi surface
outside of the antiferromagnetic Brillouin zone make negative contribution to
the Hall conductivity, even if the curvature of the Fermi surface is hole-like.
The Hall coefficient is much larger at low temperatures than the estimate made
without the vertex correction. Temperature dependence of the antiferromagnetic
spin correlation length is also crucial to cause remarkable temperature
dependence of the Hall coefficient. In our treatment the Hall coefficient of
the electron-doped cuprates can be negative despite hole-like curvature of the
Fermi surface.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 06:32:00 GMT""}]","2009-10-31"
"cond-mat/9905429","Nicholas d'Ambrumenil","R.N. Bannister and N. d'Ambrumenil","Spectral Functions of 1D Hubbard Rings with Varying Boundary Conditions","8 pages, 6 figures",,"10.1103/PhysRevB.61.4651",,"cond-mat.str-el",,"  We study the effect of varying the boundary condition on the spectral
function of a finite 1D Hubbard chain, which we compute using direct (Lanczos)
diagonalization of the Hamiltonian. By direct comparison with the two-body
response functions and with the exact solution of the Bethe Ansatz equations,
we can identify both spinon and holon features in the spectra. At half-filling
the spectra have the well-known structure of a low energy holon band and its
shadow---which span the whole Brillouin zone---and a spinon band present for
momenta less than the Fermi momentum. New features related to the twisted
boundary condition are cusps in the spinon band. We show that the spectral
building principle, adapted to account for both the finite system size and the
twisted boundary condition, describes the spectra well in terms of single
spinon and holon excitations. We argue that these finite-size effects are a
signature of spin-charge separation and that their study should help establish
the existence and nature of spin-charge separation in finite-size systems.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 08:28:01 GMT""}]","2009-10-31"
"gr-qc/9905102","Zahid Zakir","Zahid Zakir","On the generalization of the Schwarzschild and de Sitter Static
  Solutions With and Without Singularities","This paper has been withdrawn by the author due to the triviality of
  the considered coordinate transformations. A consistent treatment, based on
  the extended physical radial coordinate, is presented in the publications of
  the author 2000 - 2003",,,,"gr-qc",,"  This paper has been withdrawn by the author due to the triviality of the
considered coordinate transformations. A consistent treatment, based on the
extended physical radial coordinate, is presented in the publications of the
author 2000 - 2003.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 16:40:35 GMT""},{""version"":""v2"",""created"":""Sun, 30 May 1999 14:33:07 GMT""},{""version"":""v3"",""created"":""Wed, 1 Oct 2003 18:59:59 GMT""}]","2007-05-23"
"hep-ex/9905057","Toshinori Abe","Toshinori Abe (SLAC), representing the SLD Collaboration","A preliminary measurement of the gluon splitting rate into $b\bar{b}$
  pairs in hadronic $Z^0$ decays","11 pages 3 figures Latex, Contribution to DPF '99",,,"SLAC-PUB-8169","hep-ex",,"  We present a measurement of the rate of gluon splitting into bottom quarks,
$g \to b\bar{b}$, in hadronic $Z^0$ decays collected by SLD from 1996 to 1998.
The analysis was performed by looking for secondary bottom production in 4-jet
events of any primary flavor. A topological vertex mass technique was used to
tag the two jets with the smallest angle between them as $b/\bar{b}$. We
obtained a rate of $g \to b\bar{b}$ per hadronic event to be $(3.07 \pm 0.71
{\rm (stat.)} \pm 0.66 {\rm (syst.)})\times 10^{-3}$ (preliminary).
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 22:14:02 GMT""}]","2007-05-23"
"hep-ex/9905058","Danning Dong","The SLD Collaboration: Danning Dong","Tests of QCD using Heavy Flavors at SLD","10 pages, 6 figures, XXXIVth Moriond QCD",,,"SLAC-PUB-8150","hep-ex",,"  We present preliminary results on three SLD analyses: the gluon energy
spectrum in 3-jet bbg events, the rate of g->bb, and the b fragmentation
function in Z0 decays. The gluon energy spectrum, measured over the full
kinematic range, is compared with perturbative QCD predictions. We set new 95%
C.L. limits on the anomalous chromomagnetic coupling of the b quark:
-0.09<kappa<0.06. The rate of g->bb is measured to be (3.07 +/- 0.71(stat) +/-
0.66(syst)) X 10^-3. The inclusive B hadron energy distribution in Z0 decays is
measured for the first time over the full kinematic range, using a novel B
hadron energy reconstruction technique. Several models of b fragmentation
including JETSET + Peterson are excluded by the data. The average scaled B
hadron energy of the weakly decaying B hadron is measured to be XB = 0.713 +/-
0.005(stat) +/- 0.007(syst) +/- 0.002 (model). All three measurements take
advantage of the small and stable SLC interaction point as well as the
excellent vertexing and tracking capabilities of the upgraded CCD-pixel vertex
detector.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 23:34:00 GMT""}]","2007-05-23"
"hep-ex/9905059","Richard Nisius","Richard Nisius (on behalf of the LEP Collaborations)","The QED Structure of the Photon","Invited talk given at the 7th International Workshop on Deep
  Inelastic Scattering and QCD, April 19 to 23, 1999, Zeuthen, to appear in the
  proceedings. 8pages 4 figures",,"10.1016/S0920-5632(99)00682-9",,"hep-ex",,"  Measurements of the QED structure of the photon based on the reaction ee -->
ee \gamma(*)(P^2)\gamma*(Q^2) --> ee mumu are discussed.
  This review is an update of the discussion of the results on the QED
structure of the photon presented in Refs.[1], and covers the published
measurements of the photon structure functions F_2, F_A nd F_B and of the
differential cross-section dsig/dx for the exchange of two virtual photons.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 09:22:13 GMT""}]","2019-08-14"
