"adap-org/9903006","James P. Crutchfield","Erik van Nimwegen, James P. Crutchfield, and Martijn Huynen","Neutral Evolution of Mutational Robustness","7 pages, 3 figures",,"10.1073/pnas.96.17.9716","Santa Fe Institute Working Paper 99-03-021","adap-org nlin.AO q-bio.PE",,"  We introduce and analyze a general model of a population evolving over a
network of selectively neutral genotypes. We show that the population's limit
distribution on the neutral network is solely determined by the network
topology and given by the principal eigenvector of the network's adjacency
matrix. Moreover, the average number of neutral mutant neighbors per individual
is given by the matrix spectral radius. This quantifies the extent to which
populations evolve mutational robustness: the insensitivity of the phenotype to
mutations. Since the average neutrality is independent of evolutionary
parameters---such as, mutation rate, population size, and selective
advantage---one can infer global statistics of neutral network topology using
simple population data available from {\it in vitro} or {\it in vivo}
evolution. Populations evolving on neutral networks of RNA secondary structures
show excellent agreement with our theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:49:53 GMT""},{""version"":""v2"",""created"":""Fri, 19 Mar 1999 23:01:47 GMT""}]","2009-10-31"
"astro-ph/9903295","Travis A. Rector","Travis A. Rector, John T. Stocke and Eric S. Perlman","A Search for Low-Luminosity BL Lacertae Objects","21 pages, 8 figures, accepted by ApJ",,"10.1086/307076",,"astro-ph",,"  Many properties of BL Lacs have become explicable in terms of the
""relativistic beaming"" hypothesis whereby BL Lacs are FR-1 radio galaxies
viewed nearly along the jet axis. However, a possible problem with this model
is that a transition population between beamed BL Lacs and unbeamed FR-1s has
not been detected. A transition population of ""low-luminosity BL Lacs"" was
predicted to exist in abundance in X-ray-selected samples such as the Einstein
Extended Medium Sensitivity Survey (EMSS) by Browne & Marcha. However, these BL
Lacs may have been misidentified as clusters of galaxies. We have conducted a
search for such objects in the EMSS with the ROSAT HRI; and here we present
ROSAT HRI images, optical spectra and VLA radio maps for a small number of BL
Lacs which were previously misidentified in the EMSS catalog as clusters of
galaxies. While these objects are slightly lower in luminosity than other EMSS
BL Lacs, their properties are too similar to the other BL Lacs in the EMSS
sample to ""bridge the gap"" between BL Lacs and FR-1 radio galaxies. Also, the
number of new BL Lacs found are too few to alter significantly the X-ray
luminosity function or <v/vmax> value for the X-ray-selected EMSS BL Lac
sample. Thus, these observations do not explain fully the <v/vmax> discrepancy
between the X-ray and radio-selected BL Lac samples.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:46:36 GMT""}]","2009-10-31"
"astro-ph/9903296","Prasad Subramanian","Sisir Roy (1,2), Menas Kafatos (1), Suman Dutta (2) ((1) George Mason
  U., Fairfax, (2) Indian Statistical Inst., Calcutta)","Broadening of Spectral Lines due to Dynamic Multiple Scattering and the
  Tully-Fisher Relation","18 pages, 5 figures, revised Version has been submitted to Physical
  Review A. (2nd author's affiliation corrected)",,"10.1103/PhysRevA.60.273",,"astro-ph",,"  The frequency shift of spectral lines is most often explained by the Doppler
Effect in terms of relative motion, whereas the Doppler broadening of a
particular line mainly depends on the absolute temperature. The Wolf effect on
the other hand deals with the correlation induced spectral change and explains
both the broadening and shift of the spectral lines. In this framework a
relation between the width of the spectral line is related to the redshift z
for the line and hence with the distance. For smaller values of z a relation
similar to the Tully-Fisher relation can be obtained and for larger values of z
a more general relation can be constructed. The derivation of this kind of
relation based on dynamic multiple scattering theory may play a significant
role in explaining the overall spectra of quasi stellar objects. We emphasize
that this mechanism is not applicable for nearby galaxies, $z \leq 1$.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 22:57:25 GMT""},{""version"":""v2"",""created"":""Fri, 19 Mar 1999 16:29:24 GMT""}]","2009-10-31"
"astro-ph/9903297","Stephane Courteau","Stephane Courteau (HIA/DAO)","An Atlas for Structural Studies of Spiral Galaxies","Announcement of a new database on the Web",,,,"astro-ph",,"  This is an announcement of a new database of structural properties for 304
late-type (Sb-Sc) spiral galaxies drawn from the UGC catalogue. These data were
compiled from the kinematic and photometric studies of Courteau (1996, 1997),
and are made available to the community via the Canadian Astronomy Data Centre.
The data base contains redshift information and Tully-Fisher distances, various
measures of optical (Halpha) line width and rotational velocity, isophotal
diameters and magnitudes, disk scale lengths, B-r colour, rotation curve model
parameters, and more. The main table includes 66 entries (columns); it can be
down-loaded as one single file, or searched for any range of parameters using
our search engine. The data files for each rotation curve and luminosity
profile (including multiple observations) are also available and can be
retrieved as two separate tar files. These data were originally obtained for
cosmic flow studies (e.g. Courteau etal 1993, Courteau 1993) and have been
included in the Mark III Catalog of Galaxy Peculiar Velocities (Willick etal
1997). The high spatial and spectral resolution of these data make them ideal
for structural and dynamical investigations of spiral galaxies (e.g. Broeils &
Courteau 1997; Mo, Mao, & White 1998; Somerville & Primack 1999
(astro-ph/9802268); Courteau & Rix 1999 (astro-ph/9707290).) The data base can
be accessed at http://cadcwww.hia.nrc.ca/astrocat/courteau.html
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 23:00:16 GMT""}]","2007-05-23"
"astro-ph/9903298","Stephane Courteau","Stephane Courteau and Sidney van den Bergh (HIA/DAO)","The Solar Motion Relative to the Local Group","To appear in the Astronomical Journal, July 1999 -- 23 pages, 1 table
  (landscape format), and 6 figures",,"10.1086/300942",,"astro-ph",,"  New data on the membership of the Local Group, in conjunction with new and
improved radial velocity data, are used to refine the derivation of the motion
of the Sun relative to the Local Group (hereafter LG). The Sun is found to be
moving with a velocity of Vbulk = 306 \pm 18 km/s, towards an apex at l = 99
\pm 5 and b = -4 \pm 4 degrees. This agrees very well with previous analyses,
but we discuss the possibility of a bias if the phase-space distribution of LG
galaxies is bimodal. The LG radial velocity dispersion is 61 \pm 8 km/s. We use
various mass estimators to compute the mass of the Local Group and the
Andromeda subgroup. We find M_LG = (2.3 \pm 0.6)*10^12 \Msol, from which M/L_V
= 44 \pm 12 (in solar units). For an assumed LG age of 14 \pm 2 Gyr, the radius
of an idealized LG zero-velocity surface is r_0 = 1.18 \pm 0.15 Mpc. The Local
Group is found to have 35 likely members. Only three of those have (uncertain)
distances \grtapr 1.0 Mpc from the LG barycenter. Barring new discoveries of
low surface brightness dwarfs, this suggests that the Local Group is more
compact, and isolated from its surroundings, than previously believed.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 23:03:07 GMT""}]","2009-10-31"
"astro-ph/9903299","Masami Ouchi","Masami Ouchi, Toru Yamada, Hideaki Kawai, Kouji Ohta","Expected Sub-mm Emission and Dust Properties of Lyman Break Galaxies at
  High Redshift","11 pages, 4 figures; The Astrophysical Journal (Letters), in press","Astrophys.J. 517 (1999) L19","10.1086/312021",,"astro-ph",,"  We investigate expected sub-mm emission and dust properties of the Lyman
Break Galaxies (LBGs) in the Hubble Deep Field (HDF). The SCUBA Deep Survey
(Hughes et al., 1998) provides an upper limit of the 850 micron flux densities
of the LBGs. With this constraint, we argue that a typical ultra-violet to
far-infrared spectral shape of the high-redshift LBGs is rather close to a
template spectrum of low-reddening starburst galaxies in the local universe but
different from that of heavily dust-enshrouded ultra-luminous far-infrared
galaxies like Arp220. We also evaluate the lower-limit temperature of dust in
LBGs assuming single- and two-component modified black-body spectrum. To
estimate the total amount of energy re-emitted in FIR wavelength, we take two
different approaches; model fitting of the UV spectra of LBGs and an empirical
method using the relationship between UV spectral shape and UV/FIR flux ratio
observed for local starburst galaxies. Both methods give lower-limit
temperature of the LBGs as around 40 K, which is higher than the typical dust
temperature of local optical- and infrared-selected galaxies. This result is
also supported by the comparison of the expected sub-mm flux of the LBGs with
the cosmic FIR background radiation. The high dust temperature may indicate the
effective massive-star formation or different dust properties in the
high-redshift LBGs.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 23:16:33 GMT""}]","2009-10-31"
"astro-ph/9903300","Kenneth M. Nollett","Scott Burles, Kenneth M. Nollett, and Michael S. Turner","Big-Bang Nucleosynthesis: Linking Inner Space and Outer Space","Text and 7 color eps figures from poster for the DAP ""Great
  Discoveries in Astronomy in the Last 100 Years"" exhibit at APS centennial
  meeting; gif of 36""x36"" poster available at
  http://gamma.nrl.navy.mil/dap-aps/dapaps/indexp2.htm",,,,"astro-ph",,"  We summarize the history, theory, observational status, and implications of
big-bang nucleosynthesis.
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 00:12:40 GMT""}]","2007-05-23"
"astro-ph/9903301","Rosa M. Gonzalez Delgado","Rosa M. Gonzalez Delgado","The massive Stellar Content in Starburst Galaxies and its Impact on
  Galaxy Evolution","Invited talk to the conference ""The Evolution of Glaxies on
  Cosmological Timescales"" 13 pages+8 figures",,,,"astro-ph",,"  Starburst galaxies are powered by massive stars. These stars dominate the
heating and enrichment with heavy elements of the interstellar medium, gas out
of which new stars form. Thus, high-mass stars, and in consequence starburst
galaxies, are an important (in some cases the dominant) energy source for the
evolution of galaxies and the universe. In this contribution I review
techniques to derive the massive stellar content in starburst galaxies and
their evolutionary state. They are based on the analysis of their integrated
light with evolutionary synthesis models. The massive stellar population is
derived in a self-consistent way using the continuum and stellar wind resonance
lines in the ultraviolet, the photospheric H Balmer and HeI lines and the
nebular emission lines at optical wavelengths. Comparison with observations
provides constraints on the most recent star formation history in starburst
galaxies and their evolutionary state.
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 06:26:34 GMT""}]","2007-05-23"
"chao-dyn/9903025","Per Dahlquist","Per Dahlqvist","Escape from intermittent repellers- Periodic orbit theory for crossover
  from exponential to algebraic decay","12 pages, 5 postscript figures. Major revisions",,"10.1103/PhysRevE.60.6639",,"chao-dyn cond-mat.mes-hall nlin.CD",,"  We apply periodic orbit theory to study the asymptotic distribution of escape
times from an intermittent map. The dynamical zeta function exhibits a branch
point which is associated with an asymptotic power law escape. By an analytic
continuation technique we compute a zero of the zeta function beyond its radius
of convergence leading to a pre-asymptotic exponential decay. The time of
crossover from an exponential to a power law is also predicted. The theoretical
predictions are confirmed by numerical simulation. Applications to conductance
fluctuations in quantum dots are discussed.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 16:24:58 GMT""},{""version"":""v2"",""created"":""Tue, 18 May 1999 10:56:52 GMT""}]","2009-10-31"
"cond-mat/9903289","Tim Newman","Wannapong Triampo and T. J. Newman","Binary data corruption due to a Brownian agent II: two dimensions,
  competing agents, and generalized couplings","46 pages, 10 figures, RevTeX",,"10.1103/PhysRevE.60.1450",,"cond-mat.stat-mech",,"  This work is a continuation of our previous investigation of binary data
corruption due to a Brownian agent [T. J. Newman and W. Triampo, preprint
cond-mat/9811237]. We extend our study in three main directions which allow us
to make closer contact with real bistable systems. These are i) a detailed
analysis of two dimensions, ii) the case of competing agents, and iii) the
cases of asymmetric and quenched random couplings. Most of our results are
obtained by extending our original phenomenological model, and are supported by
extensive numerical simulations.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 17:18:03 GMT""}]","2009-10-31"
"cond-mat/9903290","Leo Radzihovsky","Brad Jacobsen (1), Karl Saunders (2), Leo Radzihovsky (1), John Toner
  (2) ((1) University of Colorado at Boulder (2) University of Oregon)","Two new topologically ordered glass phases of smectics confined in
  anisotropic random media","4 RevTeX pgs, 2 eps figures, submitted to Phys. Rev. Lett","Phys. Rev. Lett, 83, 1363 (1999)","10.1103/PhysRevLett.83.1363","University of Colorado preprint","cond-mat.soft cond-mat.dis-nn cond-mat.stat-mech",,"  We show that smectic liquid crystals confined in_anisotropic_ porous
structures such as e.g.,_strained_ aerogel or aerosil exhibit two new glassy
phases. The strain both ensures the stability of these phases and determines
their nature. One type of strain induces an ``XY Bragg glass'', while the other
creates a novel, triaxially anisotropic ``m=1 Bragg glass''. The latter
exhibits anomalous elasticity, characterized by exponents that we calculate to
high precision. We predict the phase diagram for the system, and numerous other
experimental observables.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 17:37:33 GMT""}]","2009-10-31"
"cond-mat/9903291","Andrzej Golnik","D.Munzar, C.Bernhard, A.Golnik, J.Humlicek, and M.Cardona","Anomalies of the infrared-active phonons in underdoped YBCO as an
  evidence for the intra-bilayer Josephson effect","Revtex, epsf, 6 pages, 3 figures encapsulated in text",,"10.1016/S0038-1098(99)00377-4",,"cond-mat.supr-con",,"  The spectra of the far-infrared c-axis conductivity of underdoped YBCO
crystals exhibit dramatic changes of some of the phonon peaks when going from
the normal to the superconducting state. We show that the most striking of
these anomalies can be naturally explained by changes of the local fields
acting on the ions arising from the onset of inter- and intra-bilayer Josephson
effects.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 18:25:24 GMT""}]","2009-10-31"
"cond-mat/9903292","Sergey Kravchenko","M. P. Sarachik and S. V. Kravchenko","Novel Phenomena in Dilute Electron Systems in Two Dimensions","To appear as a Perspective in the Proceedings of the National Academy
  of Sciences. Reference to Chakravarty, Kivelson, Nayak, and Voelker's paper
  added (Phil. Mag., in press)","Proc. Natl. Acad. Sci. USA 96, 5900 (1999)","10.1073/pnas.96.11.5900",,"cond-mat.str-el",,"  We review recent experiments that provide evidence for a transition to a
conducting phase in two dimensions at very low electron densities. The nature
of this phase is not understood, and is currently the focus of intense
theoretical and experimental attention.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 23:09:46 GMT""},{""version"":""v2"",""created"":""Fri, 26 Mar 1999 21:32:22 GMT""}]","2007-05-23"
"cond-mat/9903293","Patrick Warren","A. J. Masters, P. B. Warren","Kinetic theory for dissipative particle dynamics: the importance of
  collisions","7 pages, 2 figures",,"10.1209/epl/i1999-00105-4",,"cond-mat.stat-mech cond-mat.soft",,"  Kinetic theory of dissipative particle dynamics is developed in terms of a
Boltzmann pair collision theory. The kinetic transport coefficients are
computed from explicit collision integrals and compared favourably with
detailed simulations. Previous theory is found to correspond to a weak
scattering limit, or Vlasov theory, and previously reported discrepancies with
simulations are thereby resolved. In the large dissipation limit, we find
qualitatively new scaling properties for the transport coefficients.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 23:13:31 GMT""}]","2009-10-31"
