"adap-org/9903001","James P. Crutchfield","James P. Crutchfield and Erik van Nimwegen","The Evolutionary Unfolding of Complexity","28 pages, 5 figures",,,"Santa Fe Institute Working Paper 99-02-015","adap-org nlin.AO q-bio.PE",,"  We analyze the population dynamics of a broad class of fitness functions that
exhibit epochal evolution---a dynamical behavior, commonly observed in both
natural and artificial evolutionary processes, in which long periods of stasis
in an evolving population are punctuated by sudden bursts of change. Our
approach---statistical dynamics---combines methods from both statistical
mechanics and dynamical systems theory in a way that offers an alternative to
current ``landscape'' models of evolutionary optimization. We describe the
population dynamics on the macroscopic level of fitness classes or phenotype
subbasins, while averaging out the genotypic variation that is consistent with
a macroscopic state. Metastability in epochal evolution occurs solely at the
macroscopic level of the fitness distribution. While a balance between
selection and mutation maintains a quasistationary distribution of fitness,
individuals diffuse randomly through selectively neutral subbasins in genotype
space. Sudden innovations occur when, through this diffusion, a genotypic
portal is discovered that connects to a new subbasin of higher fitness
genotypes. In this way, we identify innovations with the unfolding and
stabilization of a new dimension in the macroscopic state space. The
architectural view of subbasins and portals in genotype space clarifies how
frozen accidents and the resulting phenotypic constraints guide the evolution
to higher complexity.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 21:43:12 GMT""}]","2007-05-23"
"astro-ph/9902386","Shauna Sallmen","Shauna Sallmen (1), D. C. Backer (1), T. H. Hankins (2), D. Moffett
  (3) and S. Lundgren (4) ((1) UC Berkeley, CA (2) NMIMT, Socorro, NM (3) Univ.
  of Tasmania (4) Lockheed Martin Astronautics, Denver, CO)","Simultaneous Dual Frequency Observations of Giant Pulses from the Crab
  Pulsar","LaTeX, 18 pages, 7 figures, accepted for publication in The
  Astrophysical Journal","Astrophys.J. 517 (1999) 460","10.1086/307183",,"astro-ph",,"  Simultaneous measurements of giant pulses from the Crab pulsar were taken at
two widely spaced frequencies using the real-time detection of a giant pulse at
1.4 GHz at the Very Large Array to trigger the observation of that same pulse
at 0.6 GHz at a 25-m telescope in Green Bank, WV. Interstellar dispersion of
the signals provided the necessary time to communicate the trigger across the
country via the Internet. About 70% of the pulses are seen at both 1.4 GHz and
0.6 GHz, implying an emission mechanism bandwidth of at least 0.8 GHz at 1 GHz
for pulse structure on time scales of one to ten microseconds.
  The arrival times at both frequencies display a jitter of 100 microseconds
within the window defined by the average main pulse profile and are tightly
correlated. This tight correlation places limits on both the emission mechanism
and on frequency dependent propagation within the magnetosphere.
  At 1.4 GHz the giant pulses are resolved into several, closely spaced
components. Simultaneous observations at 1.4 GHz and 4.9 GHz show that the
component splitting is frequency independent. We conclude that the multiplicity
of components is intrinsic to the emission from the pulsar, and reject the
hypothesis that this is the result of multiple imaging as the signal propagates
through the perturbed thermal plasma in the surrounding nebula. At both 1.4 GHz
and 0.6 GHz the pulses are characterized by a fast rise time and an exponential
decay time which are correlated. The pulse broadening with its exponential
decay form is most likely the result of multipath propagation in intervening
ionized gas.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 23:25:48 GMT""}]","2009-10-31"
"astro-ph/9903001","William H. Waller","Brooke P. Skelton (U. Washington), William H. Waller (Raytheon,
  CfA/SAO, and Tufts U.), Richard F. Gelderman (NASA/GSFC and Western Kentucky
  U.), Larry Brown (NASA/GSFC), Bruce Woodgate (NASA/GSFC), Adeline Caulet (U.
  Illinois), and Robert A. Schommer (NOAO/CTIO)","Emission-Line Properties of the LMC Bubble N70","35 pages, LaTeX, 17 figures (one in color [n70fig3.gif]), and 3
  tables. To appear in the Publications of the Astronomical Society of the
  Pacific (1999)",,,,"astro-ph",,"  We present a spectrophotometric imaging study of the emission bubble N70 (DEM
301) in the Large Magellanic Cloud. N70 is approximately 100 pc in size with a
nearly circular shell-like morphology. The nebular emission is powered by an
uncertain combination of EUV photons, intense winds, and supernova shock waves
from the central population of high-mass stars (the OB association LH 114). We
have obtained narrow-band images (FWHM~6A) of N70 in the light of H-alpha
(6563A), [N II] (6584A), [S II] (6717,6731A), and [O III] (5007A) along with
the corresponding red and green continua. The resulting line fluxes and flux
ratios are used to derive ionization rates, nebular densities, volume filling
fractions, and excitation indices. Comparison with similar spectrophotometry of
the Orion nebula indicates that the outer shell of N70 is especially enhanced
in [SII] emission compared to its H-alpha and [N II] emission. The measured
intensity ratios in N70 more closely match the range of excitation spanned by
giant and supergiant H II shells and even by some of the supernova remnants
observed in the LMC. From these spectral diagnostics, we conclude that EUV
photons probably contribute most of the inner nebula's ionization, whereas a
combination of photoionization plus collisional ionization and excitation of
sulfur atoms by low-velocity shocks is driving the emission-line luminosities
and intensity ratios observed in the outer shell. Considerations of the
radiative and mechanical energetics that are involved may indicate the need for
one or two supernova explosions having occurred during the last ~Myr.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 01:54:43 GMT""}]","2007-05-23"
"astro-ph/9903002","Takashi Hamana","Takashi Hamana (1), Hugo Martel (2) and Toshifumi Futamase (1) ((1)
  Tohoku University, (2) University of Texas)","Statistics of Weak Gravitational Lensing in Cold Dark Matter Models;
  Magnification Bias on Quasar Luminosity Functions","24 pages, 9 figures, LaTex using epsfig.sty. Submitted to the The
  Astrophysical Journal",,"10.1086/308242",,"astro-ph",,"  We compute statistical properties of weak gravitational lensing by
large-scale structure in three Cold Dark Matter models. We use a P$^3$M
$N$-body code to simulate the formation and evolution of large-scale structure
in the universe. We perform $1.1\times10^7$ ray-tracing experiments for each
model using the multiple lens-plane algorithm. From the results of these
experiments, we calculate the probability distribution functions (PDF) of the
convergences, shears, and magnifications, and their root-mean-square (rms)
values. We find that the rms values of the convergence and shear agree with the
predictions of a nonlinear analytical model. We also find that the PDFs of the
magnifications $\mu$ have a peak at values slightly smaller than $\mu=1$, and
are strongly skewed toward large magnifications. In particular, for the
high-density model, a power-law tail appears in the magnification distribution
at large magnifications for sources at redshifts $z_s>2$. The rms values of the
magnifications essentially agree with the nonlinear analytical predictions for
sources at low redshift, but exceed these predictions for high redshift
sources, once the power-law tail appears.
  We study the effect of magnification bias on the luminosity functions of
high-redshift quasars, using the calculated PDFs of the magnifications. We show
that the magnification bias is moderate in the absence of the power-law tail in
the magnification distribution, but depends strongly on the value of the
density parameter. In presence of the power-law tail, the bias becomes
considerable, especially at the bright end of the luminosity functions.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 10:12:28 GMT""}]","2009-10-31"
"astro-ph/9903003","Jonathan R. Ellis","John Ellis (CERN)","Limits on Sparticle Dark Matter","13 pages LaTeX, uses aipproc.sty (included), 9 eps figures, talk
  presented at COSMO 98, Asilomar, California, November 1998",,"10.1063/1.59452","CERN-TH/99-41","astro-ph",,"  Arguments are given that the lightest supersymmetric particle should be a
neutralino $\chi$. Minimizing the fine tuning of the gauge hierarchy favours
$\Omega_{\chi} h^2 \sim 0.1$. There are important constraints on the parameter
space of the MSSM from the stability of the electroweak vacuum. Co-annihilation
with the next-to-lightest supersymmetric particle is potentially significant.
Incorporating the latest accelerator constraints from LEP and elsewhere, we
find that 50 GeV $\lappeq m_\chi \lappeq$ 600 GeV and $\tan\beta \gappeq$ 2.5,
if soft supersymmetry breaking parameters are assumed to be universal.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 15:16:13 GMT""}]","2009-10-31"
"chao-dyn/9903003","Joerg Main","J. Main, G. Wunner","Periodic Orbit Quantization of Mixed Regular Chaotic Systems","4 pages, 3 figures, REVTEX, to be published in Phys. Rev. Lett","Phys. Rev. Lett., 82 (1999) 3038","10.1103/PhysRevLett.82.3038",,"chao-dyn nlin.CD",,"  A general technique for the periodic orbit quantization of systems with
near-integrable to mixed regular-chaotic dynamics is introduced. A small set of
periodic orbits is sufficient for the construction of the semiclassical
recurrence function up to, in principle, infinite length. As in our recent work
the recurrence signal is inverted by means of a high resolution spectral
analyzer (harmonic inversion) to obtain the semiclassical eigenenergies. The
method is demonstrated for the hydrogen atom in a magnetic field. To our
knowledge this is the first successful application of periodic orbit
quantization in the deep mixed regular-chaotic regime.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 00:23:47 GMT""}]","2009-10-31"
"chao-dyn/9903004","B. C. Baj","Bidhan Chandra Bag and Deb Shankar Ray (Indian Association for the
  Cultivation of Science, Jadavpur, Calcutta, India.)","A semiclassical theory of dissipative Henon-Heiles system","Revtex, 34 pages, 7 figures (ps file), to appear in Journal of
  Statistical Physics","J. Stat. Phys., 96 (1999) 271","10.1023/A:1004528601324",,"chao-dyn cond-mat.stat-mech nlin.CD",,"  A semiclassical theory of dissipative Henon-Heiles system is proposed. Based
on $\hbar$-scaling of an equation for evolution of Wigner quasiprobability
distribution function in presence of dissipation and thermal diffusion, we
derive a semiclassical equation for quantum fluctuations, governed by the
dissipation and the curvature of the classical potential. We show how the
initial quantum noise gets amplified by classical chaotic diffusion which is
expressible in terms of correlation of stochastic fluctuations of the curvature
of the potential due to classical chaos and ultimately settles down to
equilibrium under the influence of dissipation. We also establish that there
exists a critical limit to the expansion of phase space. The limit is set by
chaotic diffusion and dissipation. Our semiclassical analysis is corroborated
by numerical simulation of quantum operator master equation.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 06:12:45 GMT""}]","2015-06-24"
"cond-mat/9902355","A. Mourachkine","A. Mourachkine","The Effect of Ni and Zn Doping in Bi2212 from Tunneling Measurements.
  The MCS model of the High-Tc Superconductivity in hole-doped cuprates","24 pages (11 figures)","Journal of Superconductivity 13, 101-110 (2000).",,,"cond-mat.supr-con cond-mat.str-el",,"  We use Ni and Zn impurities doped into Bi2212 to test the MS (Magnetic
polaron - Spinon) model proposed earlier. We present electron-tunneling
spectroscopy of pure, Ni- and Zn-doped Bi2212 single crystals below Tc using a
break-junction technique. We show that the magnetic (Ni) and nonmagnetic (Zn)
impurities doped into CuO2 planes affect both Tc and the density of states in
Bi2212 but do it differently. In order to explain the data, we had to modify
the MS model. Thus, we present a Magnetic Coupling of Stripes (MCS) model. In
the MCS model, there is only one superconductivity - a spinon superconductivity
along charged stripes. The coherent state of the spinon superconductivity is
established by magnons which are excited by motions of charged stripes. So, in
the MCS model, the superconductivity has two mechanisms: along charged stripes
and perpendicular to stripes.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:50:44 GMT""}]","2007-05-23"
"cond-mat/9902357","Marti Pi Pericay","A. Emperador, M. Barranco, E. Lipparini, M. Pi, and Ll. Serra","Multipole excitations in quantum dots","Typeset using Revtex, 7 pages and 5 Postscript figures",,,,"cond-mat",,"  We have employed time-dependent local-spin density theory to analyze the
multipole spin and charge density excitations recently found in GaAs-AlGaAs
quatum dots [C. Sch\""uller et al, Phys. Rev. Lett {\bf 80}, 2673 (1998)]. The
overall agreement between theory and experiment is good, identifying the
angular momentum of the modes observed in the experiment. We have found that
high multipolarity spin density edge modes originate from interband transitions
instead that from intraband transitions, as it happens in the dipole case.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:26:12 GMT""}]","2007-05-23"
"cond-mat/9902358","Joerg Baschnagel","C. Bennemann, J. Baschnagel, W. Paul, K. Binder (Institute of Physics,
  Mainz, Germany)","Molecular-Dynamics Simulation of a Glassy Polymer Melt: Rouse Model and
  Cage Effect","19 pages of REVTeX, 11 ps-figures, accepted by Comp.Theo. Poly. Sci",,"10.1007/s100510050861",,"cond-mat.soft cond-mat.dis-nn",,"  We report results of molecular-dynamics simulations for a glassy polymer melt
consisting of short, linear bead-spring chains. It was shown in previous work
that this onset of the glassy slowing down is compatible with the predictions
of the mode coupling theory. The physical process of `caging' of a monomer by
its spatial neighbors leads to a distinct two step behavior in the particle
mean square displacements. In this work we analyze the effects of this caging
process on the Rouse description of the melt's dynamics. We show that the Rouse
theory is applicable for length and time scales above the typical scales for
the caging process. Futhermore, the monomer displacement is compared with
simulation results for a binary Lennard-Jones mixture to point out the
differences which are introduced by the connectivity of the particles.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 17:09:41 GMT""}]","2009-10-31"
"cond-mat/9902359","Chia-Ren Hu","X.-Z. Yan and C.-R. Hu","Magnetic Field Effect in Josephson tunneling between d-Wave
  Superconductors","5 pages, 2 figures",,"10.1103/PhysRevLett.83.1656","TcSUH preprint, number not yet fixed","cond-mat.supr-con",,"  The magnetic field effect in the Josephson tunneling between two d-wave
superconductors are investigated. When the crystal orientation of one (or each)
superconductor relative to the interface normal is such that midgap states
exist at the interface, there is a component of the tunneling current due to
the midgap states. For a junction with a flat {001}|{110} or {100}|{110}
interface, this component is the predominant contribution to the current. The
predicted current-field dependence differs entirely from the conventional
Fraunhofer pattern, in agreement with a published measurement. This is because,
apart from the Fraunhofer factor, the critical current depends on the magnetic
field B through the current density also which is a linear function of B for
weak B.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 17:20:32 GMT""}]","2009-10-31"
"cond-mat/9902360","Daryl Hess","D.W. Hess and J.W. Serene","Quasiparticle Band Structure and Density Functional Theory:
  Single-Particle Excitations and Band Gaps in Lattice Models","8 pages, and 5 figures",,"10.1103/PhysRevB.59.15617",,"cond-mat.str-el",,"  We compare the quasiparticle band structure for a model insulator obtained
from the fluctuation exchange approximation (FEA) with the eigenvalues of the
corresponding density functional theory (DFT) and local density approximation
(LDA). The discontinuity in the exchange-correlation potential for this model
is small and the FEA and DFT band structures are in good agreement. In contrast
to conventional wisdom, the LDA for this model overestimates the size of the
band gap. We argue that this is a consequence of an FEA self-energy that is
strongly frequency dependent, but essentially local.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 21:35:20 GMT""}]","2009-10-31"
