"adap-org/9912003","D'hulst","R. d'Hulst and G.J. Rodgers","Democracy versus Dictatorship in Self-Organized Models of Financial
  Markets","6 pages, 4 figures (included)",,"10.1016/S0378-4371(00)00089-3",,"adap-org nlin.AO",,"  Models to mimic the transmission of information in financial markets are
introduced. As an attempt to generate the demand process, we distinguish
between dictatorship associations, where groups of agents rely on one of them
to make decision, and democratic associations, where each agent takes part in
the group decision. In the dictatorship model, agents segregate into two
distinct populations, while the democratic model is driven towards a critical
state where groups of agents of all sizes exist. Hence, both models display a
level of organization, but only the democratic model is self-organized. We show
that the dictatorship model generates less volatile markets than the democratic
model.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:03:29 GMT""}]","2009-10-31"
"astro-ph/9912325","Jeremy Darling","J. Darling, R. Giovanelli","A Search for OH Megamasers at z > 0.1: Preliminary Results","4 pages, 1 figure, LaTex, uses newpasp.sty. To appear in ""Science
  with the Atacama Large Millimeter Array"", ed. Al Wootten, PASP conf series,
  proceedings of a meeting in Washington DC, October 6-8, 1999",,,,"astro-ph",,"  We report the discovery of 11 OH megamasers and one OH absorber, along with
upper limits on the OH luminosity of 53 other luminous infrared galaxies at z >
0.1. The new megamasers show a wide range of spectral properties, but are
consistent with the extant set of 55 previously reported objects, 8 of which
have z > 0.1. The new OH detections are the preliminary results of a OH
megamaser survey in progress at the Arecibo Observatory, which is expected to
produce several dozen detections and calibrate the luminosity function of OH
megamasers to the low-redshift galaxy merger rate (0.1 < z < 0.2).
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:39:18 GMT""}]","2007-05-23"
"astro-ph/9912326","Jochen Greiner","J. Greiner (Astrophys. Inst. Potsdam, Germany)","Microquasars","10 pages, LATEX with aipproc.sty, 3 ps-figs, inv. review to appear in
  proc. of 10th Ann. Astrophys. Conf. in Maryland ""Cosmic Explosions"", eds. S.
  Holt, W.W. Zhang, AIP; also available at http://www.aip.de/~jcg/publis.html",,"10.1063/1.1291729",,"astro-ph",,"  Microquasars are binary systems in our Galaxy which sporadically eject matter
at relativistic speeds along bipolar jets. While phenomenologically similar to
quasars, their vicinity allows much more in-depth studies. I review the
observational aspects of microquasars, in particular the new developments on
the interplay between accretion disk instabilities and jet ejection.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:03:15 GMT""}]","2009-10-31"
"astro-ph/9912327","Peter W. Gorham","Peter W. Gorham, William M. Folkner, and Gary H. Blackwood,
  (JPL/Caltech)","Enabling concepts for a dual spacecraft formation-flying optical
  interferometer for NASA's ST3 mission","6 pp, 4 fig., to appear in ""Working on the Fringe"", Proc. of the 1999
  Dana Pt. Conf. on Optical Interferometry, PASP conf. proc., in press; (some
  slight revisions from conference version)","PASP conf. series vol. 194, page 359.",,,"astro-ph physics.optics physics.space-ph",,"  We present the enabling concept and technology for a dual spacecraft
formation-flying optical interferometer, to be launched into a deep space orbit
as Space Technology 3. The combiner spacecraft makes use of a nested cat's eye
delay line configuration that minimizes wavefront distortion and stores 20 m of
optical pathlength in a package of \sim 1.5 m length. A parabolic trajectory
for the secondary collector spacecraft enables baselines of up to 200 m for a
fixed 20 m stored delay and spacecraft separations of up to 1 km.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:25:07 GMT""}]","2007-05-23"
"astro-ph/9912328","Adam Frank","Thibaut Lery (Dublin Institute of Advanced Studies), Adam Frank (U of
  Rochester)","Structure and Stability of Keplerian MHD Jets","35 pages, accepted by the ApJ",,"10.1086/308683",,"astro-ph",,"  MHD jet equilibria that depend on source properties are obtained using a
simplified model for stationary, axisymmetric and rotating magnetized outflows.
The present rotation laws are more complex than previously considered and
include a Keplerian disc. The ensuing jets have a dense, current-carrying
central core surrounded by an outer collar with a return current. The
intermediate part of the jet is almost current-free and is magnetically
dominated. Most of the momentum is located around the axis in the dense core
and this region is likely to dominate the dynamics of the jet. We address the
linear stability and the non-linear development of instabilities for our models
using both analytical and 2.5-D numerical simulation's. The instabilities seen
in the simulations develop with a wavelength and growth time that are well
matched by the stability analysis. The modes explored in this work may provide
a natural explanation for knots observed in astrophysical jets.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:53:30 GMT""}]","2009-10-31"
"astro-ph/9912329","Martin Kerscher","Martin Kerscher (University of Munich)","Statistical analysis of large-scale structure in the Universe","LaTeX using amsmath, amssymb, epsfig, mncite, a4, natbib, makeidx, 31
  pages, 18 figures, to appaer in: Proceedings of the Conference on Statistical
  Physics and Spatial Satistics (Wuppertal, Feb. 1999), eds. Klaus Mecke and
  Dietrich Stoyan","Lecture Notes in Physics, 554 (2000) 36-71",,,"astro-ph",,"  Methods for the statistical characterization of the large-scale structure in
the Universe will be the main topic of the present text. The focus is on
geometrical methods, mainly Minkowski functionals and the J-function. Their
relations to standard methods used in cosmology and spatial statistics and
their application to cosmological datasets will be discussed. This work is not
only meant as a short review for comologist, but also attempts to illustrate
these morphological methods and to make them accessible to scientists from
other fields. Consequently, a short introduction to the standard picture of
cosmology is given.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:59:25 GMT""}]","2007-05-23"
"astro-ph/9912330","Munshi Dipak","Dipak Munshi (MPA), Bhuvnesh Jain (JHU)","Statistics of Weak Lensing at Small Angular Scales: Analytical
  Predictions for Lower Order Moments","21 pages including 22 figures and 1 table, MNRAS, submitted","Mon.Not.Roy.Astron.Soc. 322 (2001) 107","10.1046/j.1365-8711.2001.04069.x",,"astro-ph",,"  Weak lensing surveys are expected to provide direct measurements of the
statistics of the projected dark matter distribution. Most analytical studies
of weak lensing statistics have been limited to quasilinear scales as they
relied on perturbative calculations. On the other hand, observational surveys
are likely to probe angular scales less than 10 arcminutes, for which the
relevant physical length scales are in the nonlinear regime of gravitational
clustering. We use the hierarchical ansatz to compute the multi-point
statistics of the weak lensing convergence for these small smoothing angles. We
predict the multi-point cumulants and cumulant correlators up to fourth order
and compare our results with high resolution ray tracing simulations. Averaging
over a large number of simulation realizations for four different cosmological
models, we find close agreement with the analytical calculations. In
combination with our work on the probability distribution function, these
results provide accurate analytical models for the full range of weak lensing
statistics. The models allow for a detailed exploration of cosmological
parameter space and of the dependence on angular scale and the redshift
distribution of source galaxies. We compute the dependence of the higher
moments of the convergence on the parameters Omega and Lambda and on the nature
of gravitational clustering.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 21:23:59 GMT""}]","2009-10-31"
"astro-ph/9912331","Oleg V. Verkhodanov","O.V.Verkhodanov (1), H.Andernach (2), N.V.Verkhodanova (1) ((1)
  Special astrophysical observatory, Russia; (2) Depto. de Astronomia, Univ.
  Guanajuato, Guanajuato, Mexico)","The problem of identifying decametric sources","6 pages, 4 figures, uses psfig.sty. This was the poster as presented
  on IAU Symp 1999. The final proceedings contribution will be submitted later",,,,"astro-ph",,"  We describe a method to construct continuum spectra for radio sources on the
basis of entries from various source catalogues in comparatively large error
boxes around a given sky position. Sources from the UTR-2 catalogue (Braude et
al. 1978--1994), observed at decametric wavelengths (10--25 MHz) with an
antenna beam of about 40$'$, were cross-identified with entries from other
radio catalogues at higher frequencies. Using the CATS database we extracted
all sources within 40$'$ around UTR positions to find candidate
identifications. A spectrum for each source was fitted with a set of curves
using a least-squares method to find the best fit. We preferentially selected
radio counterparts whose radio spectrum extrapolated to low frequencies matched
the UTR decametric flux densities, and whose coordinates were close to the
gravity center of UTR positions. Among all the 1822 sources in the UTR
catalogue we found about 350 sources to be blends of two or more sources. As
the most probable true coordinates of the radio counterparts we used positions
from the NVSS, TXS, GB6, or PMN catalogues. Using low-frequency sources (26,
38, 85 MHz) from CATS we checked the reliability of some of our IDs. We show
examples of the above methods, including raw and ``cleaned'' spectra.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 21:31:19 GMT""}]","2007-05-23"
"astro-ph/9912332","Oleg V. Verkhodanov","O.V.Verkhodanov (1), S.A.Trushkin (1), H.Andernach (2) ((1) Special
  astrophysical observatory, Russia; (2) Depto. de Astronomia, Apdo. Postal
  144, Univ. Guanajuato, Guanajuato, Mexico)","Low frequency catalogues of the CATS database","5 pages, uses saosutab.sty. This was the poster as presented on IAU
  Symp 1999. The final proceedings contribution will be submitted later",,,,"astro-ph",,"  The authors describe the largest existing publicly accessible radio source
database CATS (``astrophysical CATalogues Supporting system'';
http://cats.sao.ru). CATS contains more than 300 catalogues of objects detected
in different (but mostly radio) wavelength ranges. These include catalogues
from the largest existing surveys, like NVSS, FIRST, WENSS, TXS, GB6, IRAS,
ROSAT, PGC, MCG, etc. Thus CATS allows to draw samples of objects to study a
great variety of astrophysical problems. CATS also includes all of the largest
low-frequency catalogues published so far : UTR(10--25 MHz), Culgoora (80, 160
MHz), Cambridge (38, 151, 178 MHz), Miyun (232 MHz), WENSS (325 MHz), Texas
(365 MHz), Bologna and Molonglo (408 MHz) etc., and allows the user to operate
with them.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 21:58:35 GMT""}]","2007-05-23"
"astro-ph/9912333","Brad K. Gibson","Brad K. Gibson (Colorado), Philip R. Maloney (Colorado), Shoko Sakai
  (NOAO)","Has Blending Compromised Cepheid-Based Determinations of the
  Extragalactic Distance Scale?","14 pages, 2 figures, 1 table, LaTeX, accepted for publication in
  Astrophysical Journal Letters, also available at
  http://casa.colorado.edu/~bgibson/publications.html",,"10.1086/312477",,"astro-ph",,"  We examine the suggestion that half of the HST Key Project- and
Sandage/Saha-observed galaxies have had their distances systematically
underestimated, by 0.1-0.3 mag in the distance modulus, due to the
underappreciated influence of stellar profile blending on the WFC chips. The
signature of such an effect would be a systematic trend in (i) the Type Ia
supernovae corrected peak luminosity and (ii) the Tully-Fisher residuals, with
increasing calibrator distance, and (iii) a differential offset between PC and
WFC distance moduli, within the same galaxy. The absence of a trend would be
expected if blending were negligible (as has been inherently assumed in the
analyses of the aforementioned teams). We adopt a functional form for the
predicted influence of blending that is consistent with the models of Mochejska
et al. and Stanek & Udalski, and demonstrate that the expected correlation with
distance predicted by these studies is not supported by the data. We conclude
that the Cepheid-based extragalactic distance scale has not been severely
compromised by the neglect of blending.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 00:01:03 GMT""}]","2009-10-31"
"astro-ph/9912334","Dimitar Sasselov","Dimitar D. Sasselov (Harvard-Smithsonian Center for Astrophysics)","DIRECT Distances to Local Group Galaxies","5 pages, 4 figures, invited contribution at IAU Symp. 176, Budapest
  1999, ""Impact of Large-Scale Surveys on Pulsating Star Research"", ASP Conf.
  Ser",,,,"astro-ph",,"  The two nearby galaxies, M31 and M33, are stepping stones for most of our
current efforts to understand the evolving universe at large scales. We are
undertaking a long term project, called DIRECT, to improve the direct distance
estimate to M31 and M33. The massive photometry we have obtained as part of our
project over the past 3 years provides us with very good light curves for known
and new Cepheid variables, a large number of eclipsing binaries and other
variable stars. Some recent results on the 470+ new Cepheids are discussed, as
well as our correction for effects of blending using archival HST images.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 00:20:59 GMT""}]","2007-05-23"
"astro-ph/9912335","Greg Madejski","Marek Sikora and Greg Madejski","On Pair Content and Variability of Sub-Parsec Jets in Quasars","Accepted for publication in the Astrophysical Journal",,"10.1086/308756",,"astro-ph",,"  X-ray observations of blazars associated with the OVV (Optically Violently
Variable) quasars put strong constraints on the electron - positron pair
content of radio-loud quasar jets. From those observations, we infer that jets
in quasars contain many more electron - positron pairs than protons, but
dynamically are still dominated by protons. In particular, we show that pure
electron - positron jet models can be excluded, as they overpredict soft X-ray
radiation; likewise, pure proton - electron jets can be excluded, as they
predict too weak nonthermal X-ray radiation. An intermediate case is viable. We
demonstrate that jets which are initially proton-electron (""proto-jets"") can be
pair-loaded via interaction with 100 - 300 keV photons produced in hot
accretion disc coronae, likely to exist in active galactic nuclei in general.
If the coronal radiation is powered by magnetic flares, the pair loading is
expected to be non-uniform and non-axisymmetric. Together with radiation drag,
this leads to velocity and density perturbations in a jet and formation of
shocks, where the pairs are accelerated. Such a scenario can explain rapid
(time scale of about a day) variability observed in OVV quasars.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 00:21:19 GMT""}]","2009-10-31"
"astro-ph/9912336","Weidong Li","W.D. Li, A.V. Filippenko, R.R. Treffers, A. Friedman, E. Halderson,
  R.A. Johnson, J.Y. King, M. Modjaz, M. Papenkova, Y. Sato, and T. Shefler","The Lick Observatory Supernova Search","4 pages, 1 figure, Submitted to the proceedings of the 10th Annual
  October Astrophysics Conference in Maryland on Cosmic Explosions",,"10.1063/1.1291702",,"astro-ph",,"  We report here the current status of the Lick Observatory Supernova Search
(LOSS) with the Katman Automatic Imaging Telescope (KAIT). The progress on both
the hardware and the software of the system is described, and we present a list
of recent discoveries. LOSS is the world' most successful search engine for
nearby supernovae.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 00:55:32 GMT""}]","2009-10-31"
"astro-ph/9912337","Douglas C. Leonard","Douglas C. Leonard, Alexei V. Filippenko, and Thomas Matheson","Probing the Geometry of Supernovae with Spectropolarimetry","4 pages, 2 figures. To appear in the Proceedings of the 10th Annual
  October Astrophysics Conference in Maryland: Cosmic Explosions","AIP Conf.Proc.522:165,2000","10.1063/1.1291711",,"astro-ph",,"  We present results from a spectropolarimetric survey of young supernovae
completed at the Keck Observatory, including at least one example from each of
the major supernova types: Ia (1997dt), Ib (1998T, 1997dq), Ib/c-pec (1997ef),
IIn (1997eg), and II-P (1997ds). All objects show evidence for intrinsic
polarization, suggesting that asphericity may be a common feature in young
supernova atmospheres.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 03:03:41 GMT""}]","2010-12-13"
"astro-ph/9912338","Weidong Li","W.D. Li, A.V. Filippenko, A.G. Riess, J.Y. Hu, and Y.L. Qiu","A High Peculiarity Rate for Type Ia SNe","4 pages, 2 figure, Submitted to the proceedings of the 10th Annual
  October Astrophysics Conference in Maryland on Cosmic Explosions",,"10.1063/1.1291699",,"astro-ph",,"  We have compiled a sample of 90 SNe Ia from 1997 to 1999 (up to SN 1999da)
and studied the peculiarity rate of SN 1991T, SN 1991bg and SN 1986G-like
objects. A Monte Carlo code is written to study the observational biases
involved in the evaluation of the intrinsic peculiarity rate of SNe Ia. We
found that the peculiarity rate of SNe Ia is higher than 30% and the luminosity
function of SNe Ia is flat.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 01:17:08 GMT""}]","2009-10-31"
"astro-ph/9912339","Paul M. Ricker","P. M. Ricker (1), S. Dodelson (1,2), D. Q. Lamb (1) ((1) U. Chicago,
  (2) Fermilab)","COSMOS: A Hybrid N-Body/Hydrodynamics Code for Cosmological Problems","43 pages, 14 figures, submitted to ApJS and revised according to
  referee's comments","Astrophys.J. 536 (2000) 122","10.1086/308908",,"astro-ph",,"  We describe a new hybrid N-body/hydrodynamical code based on the
particle-mesh (PM) method and the piecewise-parabolic method (PPM) for use in
solving problems related to the evolution of large-scale structure, galaxy
clusters, and individual galaxies. The code, named COSMOS, possesses several
new features which distinguish it from other PM-PPM codes. In particular, to
solve the Poisson equation we have written a new multigrid solver which can
determine the gravitational potential of isolated matter distributions and
which properly takes into account the finite-volume discretization required by
PPM. All components of the code are constructed to work with a nonuniform mesh,
preserving second-order spatial differences. The PPM code uses vacuum boundary
conditions for isolated problems, preventing inflows when appropriate. The PM
code uses a second-order variable-timestep time integration scheme. Radiative
cooling and cosmological expansion terms are included. COSMOS has been
implemented for parallel computers using the Parallel Virtual Machine (PVM)
library, and it features a modular design which simplifies the addition of new
physics and the configuration of the code for different types of problems. We
discuss the equations solved by COSMOS and describe the algorithms used, with
emphasis on these features. We also discuss the results of tests we have
performed to establish that COSMOS works and to determine its range of
validity.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 04:23:09 GMT""}]","2009-10-31"
"astro-ph/9912340","Heino Falcke","Heino Falcke (MPIfR Bonn), Andrew S. Wilson (University of Maryland),
  Christian Henkel (MPIfR Bonn), Andreas Brunthaler (MPIfR Bonn), James A.
  Braatz (NRAO)","HST and VLA Observations of the H2O Gigamaser Galaxy TXS2226-184","5 pages, 2 figures (one in color), (AAS)Tex, to appear in The
  Astrophysical Journal Letters; also available at
  http://www.mpifr-bonn.mpg.de/staff/hfalcke/publications.html#gigamaser",,"10.1086/312484","hfa/eprint/No.34","astro-ph",,"  We present HST/WFPC2 images in Halpha+[NII]6548,6583 lines and continuum
radiation and a VLA map at 8 GHz of the H2O gigamaser galaxy TXS2226-184. This
galaxy has the most luminous H2O maser emission known to date. Our red
continuum images reveal a highly elongated galaxy with a dust lane crossing the
nucleus. The surface brightness profile is best fitted by a bulge plus
exponential disk model, favoring classification as a highly inclined spiral
galaxy (i=70 degree). The color map confirms the dust lane aligned with the
galaxy major axis and crossing the putative nucleus. The Halpha+[NII] map
exhibits a gaseous, jet-like structure perpendicular to the nuclear dust lane
and the galaxy major axis. The radio map shows compact, steep spectrum emission
which is elongated in the same direction as the Halpha+[NII] emission. By
analogy with Seyfert galaxies, we therefore suspect this alignment reflects an
interaction between the radio jet and the ISM. The axes of the nuclear dust
disk, the radio emission, and the optical line emission apparently define the
axis of the AGN. The observations suggest that in this galaxy the nuclear
accretion disk, obscuring torus, and large scale molecular gas layer are
roughly coplanar. Our classification of the host galaxy strengthens the trend
for megamasers to be found preferentially in highly inclined spiral galaxies.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 08:56:36 GMT""}]","2009-10-31"
