"adap-org/9912001","J. Doyne Farmer","J. Doyne Farmer and Andrew W. Lo","Frontiers of finance: Evolution and efficient markets","2 pages","Proceedings of the National Academy of Science, Vol . 96, p.
  9991-9992","10.1073/pnas.96.18.9991",,"adap-org nlin.AO",,"  In this review article we explore several recent advances in the quantitative
modeling of financial markets. We begin with the Efficient Markets Hypothesis
and describe how this controversial idea has stimulated a number of new
directions of research, some focusing on more elaborate mathematical models
that are captable of rationalizing the empirical facrts, others taking a
completely different different tack in rejecting rationality altogether. One of
the most promising directions is to view financial markets from a biological
perspective and, specifically, with an evolutionary framework in which markets,
instruments, institutions, and investors interact and evolve dynamically
according to the ""law"" of economic selection. Under this view, financial agents
compete and adapt, but they do not necessarily do so in an optimal fashion.
Evolutionary and ecological models of financial markets is truly a new frontier
whose exploration has just begun.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 22:11:21 GMT""}]","2009-10-31"
"astro-ph/9912176","Sylvie Beaulieu","Sylvie F. Beaulieu, Gerard F. Gilmore, Rachel A. Johnson, Stephen J.
  Smartt, Nial Tanvir and Basilio Santiago (Institute of Astronomy, Cambridge,
  England)","The Bulge Globular Cluster NGC 6553: Observations with HST's WFPC2,
  STIS, and NICMOS","newpasp Latex, 6 pages (incl. 3 PS figures). to appear in Massive
  Stellar Clusters, ASP Conf. Series",,,,"astro-ph",,"  As part of a large HST project to study the formation and evolution of rich
star clusters in the Large Magellanic Cloud, we present results for the
Galactic bulge metal-rich globular cluster NGC6553. HST observations using
WFPC2, NICMOS and STIS were obtained for this cluster. The primarily reason for
studying NGC6553 is to allow the possibility to transform our NICMOS and STIS
magnitudes directly into stellar masses. This is particularly important for
determining the low mass end of the IMF. NGC 6553 was chosen because its
metallicity, [Fe/H]$=-0.22\pm 0.05$, is representative of the metallicities
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 20:27:18 GMT""}]","2007-05-23"
"astro-ph/9912177","Ranjeev Misra","Ranjeev Misra (Northwestern Univ)","Modeling The X-ray Timing Properties Of Cygnus X-1 As Caused By Waves
  Propagating In A Transition Disk","accepted for publication in APJ letters",,"10.1086/312470",,"astro-ph",,"  We show that waves propagating in a transition disk can explain the short
term temporal behavior of Cygnus X-1. In the transition disk model the spectrum
is produced by saturated Comptonization within the inner region of the
accretion disk where the temperature varies rapidly with radius. Recently, the
spectrum from such a disk has been shown to fit the average broad band spectrum
of this source better than that predicted by the soft-photon Comptonization
model. Here, we consider a simple model where waves are propagating
cylindrically symmetrical ly in the transition disk with a uniform propagation
speed ($c_p$). We show that this model can qualitatively explain (a) the
variation of the power spectral density (PSD) with energy, (b) the hard lags as
a function of frequency and (c) the hard lags as a function of energy for
various frequencies. Thus the transition disk model can explain the average
spectrum and the short term temporal behavior of Cygnus X-1.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 23:19:36 GMT""}]","2009-10-31"
"astro-ph/9912178","Ranjeev Misra","Ranjeev Misra (Northwestern Univ.)","A two zone model for the broad Iron line emission in MCG-6-30-15","submitted to mnras","Mon.Not.Roy.Astron.Soc. 320 (2001) 445","10.1046/j.1365-8711.2001.03890.x",,"astro-ph",,"  We reanalyze the ASCA and BeppoSAX data of MCG-6-30-15, using a double zone
model for the Iron line profile. In this model, the X-ray source is located
around $\approx 10$ Schwarzschild radius and the regions interior and exterior
to the X-ray source produce the line emission. We find that this model fits the
data with similar reduced $\chi^2$ as the standard single zone model. The best
fit inclination angle of the source ($i \approx 10^o$) for the medium intensity
ASCA data set is compatible with that determined by earlier modeling of optical
lines. The observed variability of the line profile with intensity can be
explained as variations of the X-ray source size. That several AGN with broad
lines have the peak centroid near 6.4 keV can be explained within the framework
of this model under certain conditions.
  We also show that the simultaneous broad band observations of this source by
BeppoSAX rules out the Comptonization model which was an alternative to the
standard inner disk one. We thereby strengthen the case that the line
broadening occurs due to the strong gravitational influence of a Black Hole.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 23:35:27 GMT""}]","2009-10-31"
"astro-ph/9912179","Michel Fioc","Michel Fioc and Brigitte Rocca-Volmerange","PEGASE.2, a metallicity-consistent spectral evolution model of galaxies:
  the documentation and the code","Documentation (18 pages). The codes (fortran 77) and data are
  available at http://www.iap.fr/users/fioc/PEGASE.html or by anonymous ftp at
  ftp://ftp.iap.fr/pub/from_users/pegase/PEGASE.2/",,,,"astro-ph",,"  We provide here the documentation of the new version of the spectral
evolution model PEGASE. PEGASE computes synthetic spectra of galaxies in the UV
to near-IR range from 0 to 20 Gyr, for a given stellar IMF and evolutionary
scenario (star formation law, infall, galactic winds). The radiation emitted by
stars from the main sequence to the pre-supernova or white dwarf stage is
calculated, as well as the extinction by dust. A simple modeling of the nebular
emission (continuum and lines) is also proposed. PEGASE may be used to model
starbursts as well as old galaxies. The main improvements of PEGASE.2 relative
to PEGASE.1 (Fioc & Rocca-Volmerange 1997) are the following: (1)The stellar
evolutionary tracks of the Padova group for metallicities between 0.0001 and
0.1 have been included; (2)The evolution of the metallicity of the interstellar
medium (ISM) due to SNII, SNIa and AGB stars is followed. Stars are formed with
the same metallicity as the ISM (instead of a solar metallicity in PEGASE.1),
providing thus a metallicity-consistent model; (3)Lejeune et al.'s library of
stellar spectra is used; (4)The extinction by dust is computed for geometries
corresponding to disk and spheroidal galaxies using a radiative transfer code
taking into account the scattering. The main outputs (as a function of time)
are spectra, colors and magnitudes in various photometric systems,
luminosities, type II and Ia supernovae rates, line intensities and equivalent
widths, amount and metallicity of stars and gas, mass locked in stellar
remnants, optical depth and total dust emission. The corresponding article
(Fioc & Rocca-Volmerange 2000) will be submitted soon. A detailed modeling of
the spectrum of the dust emission and of HII regions (Moy, Rocca-Volmerange &
Fioc 2000) will be included in future versions.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 00:22:00 GMT""}]","2007-05-23"
"astro-ph/9912180","Alexandre Refregier","A. Refregier (1,2), E. Komatsu (2), D.N. Spergel (2), U.-L. Pen (3)
  ((1) Cambridge, (2) Princeton, (3) CITA)","The Power Spectrum of the Sunyaev-Zel'dovich Effect","21 revtex pages, including 2 tables and 12 figures. To appear in PRD.
  Minor revisions to match accepted version. Also available at
  http://www.astro.princeton.edu/~refreg","Phys.Rev.D61:123001,2000","10.1103/PhysRevD.61.123001",,"astro-ph",,"  (Abridged) The hot gas in the IGM produces anisotropies in the Cosmic
Microwave Background (CMB) through the thermal Sunyaev-Zel'dovich (SZ) effect.
The SZ effect is a powerful probe of large-scale structure in the universe and
must be carefully subtracted from measurements of the primary CMB anisotropies.
We use moving-mesh hydrodynamical simulations to study the 3-dimensional
statistics of the gas, and compute the mean comptonization parameter and the
angular power spectrum of the SZ fluctuations, for different cosmologies. We
compare these results with predictions using the Press-Schechter formalism. We
find that the two methods agree approximately, but differ in details. We
discuss this discrepancy, and show that resolution limits the reliability of
our results to the 200<l<2000 range. For cluster- normalized CDM models, the SZ
power spectrum is comparable to the primordial power spectrum around l=2000. We
show that groups and filaments (kT<5 keV) contribute about 50% of the SZ power
spectrum at l=500. About half of the SZ power spectrum on these scales is
produced at redshifts z<0.1, and can thus be detected and removed using
existing catalogs of galaxies and X-ray clusters. We discuss the implications
of these results for the future MAP and Planck Surveyor missions.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 00:24:10 GMT""},{""version"":""v2"",""created"":""Mon, 3 Apr 2000 14:01:44 GMT""}]","2009-12-30"
"astro-ph/9912181","Nick Kaiser","N.Kaiser, J.L.Tonry and G.A.Luppino","A New Strategy for Deep Wide-Field High Resolution Optical Imaging","46 pages, 22 figures, submitted to PASP, a version with higher
  resolution images and other supplementary material can be found at
  http://www.ifa.hawaii.edu/~kaiser/wfhri",,"10.1086/316578",,"astro-ph",,"  We propose a new strategy for obtaining enhanced resolution (FWHM = 0.12
arcsec) deep optical images over a wide field of view. As is well known, this
type of image quality can be obtained in principle simply by fast guiding on a
small (D = 1.5m) telescope at a good site, but only for target objects which
lie within a limited angular distance of a suitably bright guide star. For high
altitude turbulence this 'isokinetic angle' is approximately 1 arcminute. With
a 1 degree field say one would need to track and correct the motions of
thousands of isokinetic patches, yet there are typically too few sufficiently
bright guide stars to provide the necessary guiding information. Our proposed
solution to these problems has two novel features. The first is to use
orthogonal transfer charge-coupled device (OTCCD) technology to effectively
implement a wide field 'rubber focal plane' detector composed of an array of
cells which can be guided independently. The second is to combine measured
motions of a set of guide stars made with an array of telescopes to provide the
extra information needed to fully determine the deflection field. We discuss
the performance, feasibility and design constraints on a system which would
provide the collecting area equivalent to a single 9m telescope, a 1 degree
square field and 0.12 arcsec FWHM image quality.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 00:37:03 GMT""}]","2009-10-31"
"astro-ph/9912182","Douglas Scott","Sara Seager, Dimitar D. Sasselov and Douglas Scott","How exactly did the Universe become neutral?","24 pages, including 18 figures, using emulateapj.sty, to appear in
  ApJ, the code recfast can be obtained at
  http://www.astro.ubc.ca/people/scott/recfast.html (in FORTRAN) and
  http://cfa-www.harvard.edu/~sasselov/rec/ (in C)","Astrophys.J.Suppl. 128 (2000) 407-430","10.1086/313388","UBC-COS-99-07","astro-ph",,"  We present a refined treatment of H, He I, and He II recombination in the
early Universe. The difference from previous calculations is that we use
multi-level atoms and evolve the population of each level with redshift by
including all bound-bound and bound-free transitions. In this framework we
follow several hundred atomic energy levels for H, He I, and He II combined.
The main improvements of this method over previous recombination calculations
are: (1) allowing excited atomic level populations to depart from an
equilibrium distribution; (2) replacing the total recombination coefficient
with recombination to and photoionization from each level directly at each
redshift step; and (3) correct treatment of the He I atom, including the
triplet and singlet states. We find that the ionization fraction x_e = n_e/n_H
is approximately 10% smaller at redshifts <~800 than in previous calculations,
due to the non-equilibrium of the excited states of H, which is caused by the
strong but cool radiation field at those redshifts. In addition we find that He
I recombination is delayed compared with previous calculations, and occurs only
just before H recombination. These changes in turn can affect the predicted
power spectrum of microwave anisotropies at the few percent level. Other
improvements such as including molecular and ionic species of H, including
complete heating and cooling terms for the evolution of the matter temperature,
including collisional rates, and including feedback of the secondary spectral
distortions on the radiation field, produce negligible change to x_e. The lower
x_e at low z found in this work affects the abundances of H molecular and ionic
species by 10-25%. However this difference is probably not larger than other
uncertainties in the reaction rates.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 05:40:39 GMT""},{""version"":""v2"",""created"":""Fri, 10 Dec 1999 01:07:12 GMT""}]","2009-10-31"
"astro-ph/9912183","Dr. Somenath Chakrabarty","Nandini Nag and Somenath Chakrabarty","Thomas-Fermi-Dirac model for Low Density Stellar Matter in Presence of a
  Strong Quantising Magnetic Field","8 pages, REVTEX, one figure (epsfile is included)",,,,"astro-ph",,"  The effect of strong quantising magnetic field on low density stellar matter
is investigated using Thomas-Fermi-Dirac (TFD) model. The Wigner-Seitz cell
structure is assumed for the low density matter. The significant changes in the
properties of such low density matter in presence of strong magnetic fields are
discussed. It is seen that the decay time scale for magnetic field decreases by
at least two orders of magnitude in such model calculaion.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 08:40:13 GMT""}]","2007-05-23"
"astro-ph/9912185","Petukhov","A.V.Kopylov","Doppler Shift or Another Mass of a Nucleon?","5 pages",,,,"astro-ph",,"  The comparison of magnetic moments of neutron and proton reveals three
possible stationary states of a nucleon: s-, p- and o-nucleon with different
configurations and presumably different masses. Two of these nucleons may exist
as the small impurities to the representative one. If so the frequency
1420405751.767 Hz of the hydrogen maser should be accompanied by the lines of
weak intensity with a frequency shift proportional to the mass shift of a
nucleon state. In radio astronomy the manifestation of this can be the presence
of the corresponding ""Doppler shifted"" lines in the microwave spectrum of
hydrogen.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 09:28:31 GMT""}]","2007-05-23"
"astro-ph/9912186","Annalisa Celotti","Annalisa Celotti, John C. Miller, Dennis W. Sciama (SISSA, Trieste,
  Italy)","Astrophysical evidence for the existence of black holes","23 pages, 3 figures, TeX format","Class.Quant.Grav.16:A3,1999","10.1088/0264-9381/16/12A/301",,"astro-ph gr-qc",,"  Following a short account of the history of the idea of black holes, we
present a review of the current status of the search for observational evidence
of their existence aimed at an audience of relativists rather than astronomers
or astrophysicists. We focus on two different regimes: that of stellar-mass
black holes and that of black holes with the masses of galactic nuclei.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 09:58:26 GMT""}]","2010-04-06"
"astro-ph/9912187","Andrzej Udalski","G. Pietrzynski, A. Udalski, M. Kubiak, M. Szymanski, P. Wozniak, and
  K. Zebrun","The Optical Gravitational Lensing Experiment. Catalog of Star Clusters
  from the Large Magellanic Cloud","20 pages, Latex. Only one page of the Appendix is included. Full
  distribution of the Catalog is available from http://www.astrouw.edu.pl/~ogle
  or http://www.astro.princeton.edu/~ogle) Acta Astronomica submitted",,,,"astro-ph",,"  We present the catalog of star clusters found in the area of about 5.8 square
degree in the central regions of the Large Magellanic Cloud. It contains data
for 745 clusters. 126 of them are new objects. For each cluster equatorial
coordinates, radius, approximate number of members and cross-identification are
provided. Photometric data for all clusters presented in the catalog and Atlas
consisting of finding charts and color-magnitude diagrams are available
electronically from the OGLE Internet archive.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 11:43:35 GMT""}]","2007-05-23"
"astro-ph/9912188","A. B. Peck","A. B. Peck, G. B. Taylor, C. D. Fassnacht (NRAO), A. C. S. Readhead
  (Caltech) and R. C. Vermeulen (NFRA)","Redshifts and Neutral Hydrogen Observations of Compact Symmetric Objects
  in the COINS Sample","12 pages, Accepted for publication in ApJ",,"10.1086/308745",,"astro-ph",,"  Compact Symmetric Objects (CSOs) are young radio galaxies whose jet axes lie
close to the plane of the sky, and whose appearance is therefore not dominated
by relativistic beaming effects. The small linear sizes of CSOs make them
valuable for studies of both the evolution of radio galaxies and testing
unified schemes for active galactic nuclei (AGN). A parsec-scale region of gas
surrounding the central engine is predicted by both accretion and obscuration
scenarios. Working surfaces, or ``hot spots,'' and the radio jets of CSOs are
close enough to the central engines that this circumnuclear gas can be seen in
absorption.
  The CSOs Observed in the Northern Sky (COINS) sample is comprised of 52 CSO
candidates identified in three VLBI surveys. Of these, 27 have now been
confirmed as CSOs. Optical redshifts are available in the literature for 28 of
the CSO candidates, and HI absorption has been detected toward four. We present
new optical spectroscopic redshifts for three of the candidates and summarize
the current status of optical identifications. We further report on the
discovery of HI in absorption towards the CSO J1816+3457 and summarize the
results of neutral hydrogen absorption studies of the sources in this sample.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 10:56:39 GMT""}]","2009-10-31"
"astro-ph/9912189","A. B. Peck","A. B. Peck, G. B. Taylor (NRAO)","The COINS Sample - VLBA Identifications of Compact Symmetric Objects","24 pages, incl 8 figures. Accepted for publication in ApJ. Figure
  quality degraded in the interests of space, full gzipped PS version also
  available at http://www.ee.nmt.edu/~apeck/papers/",,"10.1086/308746",,"astro-ph",,"  We present results of multifrequency polarimetric VLBA observations of 34
compact radio sources. The observations are part of a large survey undertaken
to identify CSOs Observed in the Northern Sky (COINS). Compact Symmetric
Objects (CSOs) are of particular interest in the study of the physics and
evolution of active galaxies. Based on VLBI continuum surveys of ~2000 compact
radio sources, we have defined a sample of 52 CSOs and CSO candidates. In this
paper, we identify 18 previously known CSOs, and introduce 33 new CSO
candidates. We present continuum images at several frequencies and, where
possible, images of the polarized flux density and spectral index distributions
for the 33 new candidates and one previously known but unconfirmed source. We
find evidence to support the inclusion of 10 of these condidates into the class
of CSOs. Thirteen candidates, including the previously unconfirmed source, have
been ruled out. Eleven sources require further investigation. The addition of
the 10 new confirmed CSOs increases the size of this class of objects by 50%.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 11:23:48 GMT""}]","2009-10-31"
"astro-ph/9912190","Andrzej Udalski","G. Pietrzynski and A. Udalski","The Optical Gravitational Lensing Experiment. Cepheids in Star Clusters
  from the Magellanic Clouds","9 pages, LaTeX. Acta Astronomica submitted",,,,"astro-ph",,"  We present Cepheids located in the close neighborhood of star clusters from
the Magellanic Clouds. 204 and 132 such stars were found in the LMC and SMC,
respectively. The lists of objects were constructed based on catalogs of
Cepheids and star clusters, recently published by the OGLE-II collaboration.
Location of selected Cepheids on the sky indicates that many of them are very
likely cluster members. Photometric data of Cepheids and clusters are available
from the OGLE archive.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 11:36:35 GMT""}]","2007-05-23"
