"astro-ph/9912046","Jerome Martin","Philippe Brax and Jerome Martin","The Robustness of Quintessence","16 pages, 7 figures","Phys.Rev. D61 (2000) 103502","10.1103/PhysRevD.61.103502","t99/075","astro-ph gr-qc hep-ph hep-th",,"  Recent observations seem to suggest that our Universe is accelerating
implying that it is dominated by a fluid whose equation of state is negative.
Quintessence is a possible explanation. In particular, the concept of tracking
solutions permits to adress the fine-tuning and coincidence problems. We study
this proposal in the simplest case of an inverse power potential and
investigate its robustness to corrections. We show that quintessence is not
affected by the one-loop quantum corrections. In the supersymmetric case where
the quintessential potential is motivated by non-perturbative effects in gauge
theories, we consider the curvature effects and the K\""ahler corrections. We
find that the curvature effects are negligible while the K\""ahler corrections
modify the early evolution of the quintessence field. Finally we study the
supergravity corrections and show that they must be taken into account as
$Q\approx m_{\rm Pl}$ at small red-shifts. We discuss simple supergravity
models exhibiting the quintessential behaviour. In particular, we propose a
model where the scalar potential is given by $V(Q)=\frac{\Lambda^{4+\alpha
}}{Q^{\alpha}}e^{\frac{\kappa}{2}Q^2}$. We argue that the fine-tuning problem
can be overcome if $\alpha \ge 11$. This model leads to $\omega_Q\approx -0.82$
for $\Omega_{\rm m}\approx 0.3$ which is in good agreement with the presently
available data.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:18:41 GMT""}]","2009-10-31"
"astro-ph/9912057","Andy Shearer","Andy Shearer, Aaron Golden (National University of Ireland, Galway),
  Gregory Beskin (Special Astrophysical Observatory, Russia)","Implications of the Optical Observations of Isolated Neutron Stars","4 pages, 3 figures, to appear in the Proceedings of IAU Colloquium
  177 : ""Pulsar Astronomy - 2000 & Beyond"", Ed. Kramer, Wex & Wielebinski, ASP
  conf.Series. Uses newpasp.sty",,,,"astro-ph",,"  Observations of the 5 confirmed optical pulsars indicate that the peak
emission scales according to the outer field strength. We show that this gives
gives further confirmation that a simple phenomenological models such as Pacini
and Salvati (1987) still have validity. Furthermore we show that the Crab
pulsar exhibits unpulsed emission which further complicates any studies of the
thermal emission from Isolated Neutron Stars.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 18:33:35 GMT""}]","2007-05-23"
"astro-ph/9912058","Matthew G. Baring","Matthew G. Baring","Cosmic Ray Origin, Acceleration and Propagation","To appear in the Summary-Rapporteur Volume of the 26th International
  Cosmic Ray Conference, ed. B. L. Dingus (AIP, New York, 2000). Latex, 16
  pages, no figures (Minor correction to text)",,"10.1063/1.1291474",,"astro-ph",,"  This paper summarizes highlights of the OG3.1, 3.2 and 3.3 sessions of the
XXVIth International Cosmic Ray Conference in Salt Lake City, which were
devoted to issues of origin/composition, acceleration and propagation.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 22:48:19 GMT""},{""version"":""v2"",""created"":""Thu, 9 Dec 1999 20:07:34 GMT""}]","2009-10-31"
"astro-ph/9912059","Kevin Hurley","K. Hurley","A Gamma-Ray Burst Bibliography, 1973-1999","To appear in the proceedings of the 5th Huntsville GRB Symposium, AIP
  press, April 2000",,"10.1063/1.1361496",,"astro-ph",,"  On the average, one new publication on cosmic gamma-ray bursts enters the
literature every day. The total number now exceeds 4100. I present here a
complete bibliography which can be made available electronically to interested
parties.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 23:35:16 GMT""}]","2009-10-31"
"astro-ph/9912060","Rita M. Sambruna","Rita M. Sambruna (Pennsylvania State University)","Coordinated RXTE and multiwavelength observations of blazars","invited review talk at the Frascati Workshop 1999, May 24-29 1999,
  Vulcano, Italy, MEMSAIt, in press",,,,"astro-ph",,"  Results from recent multiwavelength observations of blazars are reviewed,
with particular emphasis on those involving the Rossi X-ray Timing Explorer
(RXTE). I discuss blazars' spectral energy distributions, their correlated
variability at various energies, and the insights they offer on the physical
processes in the jet. New results on Mrk 501, PKS 2155--304, and PKS 2005--489
are highlighted.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 23:47:08 GMT""}]","2007-05-23"
"astro-ph/9912061","Kevin Hurley","K. Hurley","The 4.5 +/- 0.5 Soft Gamma Repeaters in Review","This review article will appear in various forms in the following
  proceedings: 1. X-Ray Astronomy 1999 - Stellar Endpoints, AGN and the X-Ray
  Background (Astrophysical Letters and Communications, 2000) 2. Proceedings of
  the 5th Compton Symposium (AIP Press, 2000) 3. Proceedings of the 5th
  Huntsville GRB Symposium (AIP Press, April 2000)",,"10.1063/1.1361637",,"astro-ph",,"  Four Soft Gamma Repeaters (SGRs) have now been identified with certainty, and
a fifth has possibly been detected. I will review their X-ray and gamma-ray
properties in both outburst and quiescence. The magnetar model accounts fairly
well for the observations of SGR1806-20 and SGR1900+14, but data are still
lacking for SGR1627-41 and SGR0525-66. The locations of the SGRs with respect
to their supernova remnants suggest that they are high velocity objects.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 00:18:58 GMT""}]","2009-10-31"
"astro-ph/9912062","Vladimir Avila Reese","V. Avila-Reese, E. V\'azquez-Semadeni (Instituto de Astronomia, UNAM,
  Mexico)","Turbulent dissipation in the interstellar medium: implications for
  galaxy formation and evolution","3 pages, uses rmaa.cls, to appear in ""Astrophysical Plasmas: Codes,
  Models, and Observations"", Eds. J. Franco, J. Arthur, N. Brickhouse,
  Rev.Mex.AA Conf. Series. An error in the calculation of the dissipation time,
  t_d, was corrected (it referred to the dissipation in the forced regions).
  Now we report the global t_d, which is the relevant quantity for the whole
  flow","RevMexAA (Serie de Conferencias), vol. 9, p.63",,,"astro-ph",,"  We study turbulent dissipation in the ISM and explore some implications for
galaxy formation and evolution using 2D MHD numerical simulations of
compressible fluids. The turbulent kinetic energy E_k is injected by stellar
sources formed self-consistently in the simulation. In the ISM-like fluid,
regimes of both forced and decaying turbulence coexist. In the active turbulent
regions (forced regime), E_k is dissipated locally and efficiently. In the
decaying regime (far from input sources), E_k(t) decays ~(1+t)^-0.8. The
residual turbulent motions may propagate distances of the order of the observed
disk height, suggesting that turbulence may be the responsible of vertical
support and star formation self-regulation at the disk level, but not at the
level of the whole cosmological halo, as would be required in some models of
galaxy formation.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 02:11:17 GMT""},{""version"":""v2"",""created"":""Wed, 26 Apr 2000 17:03:59 GMT""}]","2007-05-23"
"astro-ph/9912063","Wei Daming","D.M. Wei (Purple Mountain Observatory), T. Lu (Department of
  Astronomy, Nanjing University)","The evolution of beamed GRB afterglow: non-relativistic case","Latex, 9 pages, no figure, accepted by MNRAS","Mon.Not.Roy.Astron.Soc. 320 (2001) 37","10.1046/j.1365-8711.2001.03923.x",,"astro-ph",,"  There has been increasing evidence that at least some GRBs are emission
beamed. The beamed GRB afterglow evolution has been discussed by several
authors in the ultra-relativistic case.
  It has been shown that the dynamics of the blast wave will be significantly
modified by the sideways expansion, and there may be a sharp break in the
afterglow light curves under certain circumstances. However, this is true only
when the fireball is still relativistic. Here we present an analytical approach
to the evolution of the beamed GRB blast wave expanding in the surrounding
medium (density $n\propto r^{-s}$) in the non-relativistic case, our purpose is
to explore whether the sideways expansion will strongly affect the blast wave
evolution as in the relativistic case. We find that the blast wave evolution is
strongly dependent on the speed of the sideways expansion. If it expands with
the sound speed, then the jet angle $\theta $ increases with time as $\theta
\propto ln t$, which means that the sideways expansion has little effect on the
afterglow light curves, the flux $F\propto t^{-\frac{3(5\alpha -1)}{5}}$ for
$s=0$ and $F\propto t^{-\frac{7\alpha +1}{3}}$ for $s=2$.It is clear that the
light curve of $s=2$ is not always steeper than that of $s=0$, as in the
relativistic case.We also show that if the expansion speed is a constant, then
the jet angle $\theta \propto t$, and the radius $r \propto t^{0}$, in this
case the sideways expansion has the most significant effect on the blast wave
evolution, the flux $F\propto t^{-(5\alpha -1)}$ independent of $s$, and we
expect that there should be a smooth and gradual break in the light curve.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 01:38:12 GMT""},{""version"":""v2"",""created"":""Mon, 7 Aug 2000 08:29:44 GMT""}]","2009-10-31"
"astro-ph/9912064","Luca Ciotti","L. Ciotti, J.P. Ostriker","Cooling flows and quasars: II. Detailed models of feedback modulated
  accretion flows","43 pages, 10 figures. Main additions concern observed Compton
  temperatures and few extra numerical models. Conclusions unchanged. 1 new
  table and 3 new figures. Accepted for publication on ApJ (main journal)",,"10.1086/320053","BAP-11-2000-24-OAB","astro-ph",,"  Most elliptical galaxies contain central black holes (BHs), and most also
contain significant amounts of hot gas capable of accreting on to the central
BH due to cooling times short compared to the Hubble time. Why therefore do we
not see AGNs at the center of most elliptical galaxies rather than in only (at
most) a few per cent of them? We propose here the simple idea that feedback
from accretion events heats the ambient gas retarding subsequent infall. In
this context, we present a class of 1D hydrodynamical evolutionary sequences
for the gas flows in elliptical galaxies with a massive central BH. The
resulting evolution is characterized by strong oscillations, in which very fast
and energetic bursts of the BH are followed by longer periods in which the
X-ray galaxy emission comes from the coronal gas. We also allow for departures
from spherical symmetry by examining scenarios in which the central engine is
either an ADAF or a more conventional accretion disk that is optically thick
except for a polar region. In all cases the duty cycle (fraction of the time
that the system will be seen as an AGN) is quite small and in the range 10^{-4}
- 10^{-3}. Thus, for any reasonable value of the efficiency, the presence of a
massive BH at the center of a galaxy seems to be incompatible with the presence
of a long-lived cooling flow.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 07:08:53 GMT""},{""version"":""v2"",""created"":""Thu, 23 Nov 2000 15:40:02 GMT""}]","2016-03-23"
"astro-ph/9912065","Delphine Porquet","Delphine Porquet (1) and Jacques Dubau (2) ((1) Observatoire de Paris,
  section de Meudon DAEC, France, (2) Observatoire de Paris, section de Meudon
  DARC, France)","X-ray plasma diagnostics for totally and partially photoionized plasmas
  such as Warm Absorber in AGN","To appear in Revista Mexicana de Astronomia y Astrofisca, Conference
  Series, (Eds) J. Franco, J. Arthur & N. Brickhouse (February 2000)",,,,"astro-ph",,"  Thanks to the new generation of X-ray satellites such as Chandra and XMM,
high resolution and high sensitivity spectra are available. In particular, for
the first time, the three most intense lines (resonance, intercombination and
forbidden) of low charged (low Z) He-like ions are splitted for non solar
plasmas. We present density, ionizing process and temperature diagnostics, for
totally and partially photoionized plasmas, based on ratios of these three
lines. These powerful plasma diagnostics could be used for hot astrophysical
plasmas such as AGN, starburst galaxies, X-ray binaries, etc. In particular,
they could be applied to Warm Absorber often seen in Active Galactic Nuclei
(Porquet & Dubau 2000), which is an important key tool to understand central
region of different types of AGN (Seyfert 1 and 2, high and low redshift
quasars).
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 09:14:22 GMT""}]","2007-05-23"
"astro-ph/9912066","Monica Colpi","Monica Colpi, Ulrich Geppert and Dany Page","Period clustering of the Anomalous X-ray Pulsars and magnetic field
  decay in magnetars","5 pages in emulated ApJ style. To appear in The Astrophysical Journal
  Letters",,"10.1086/312448",,"astro-ph",,"  We confront theoretical models for the rotational, magnetic, and thermal
evolution of an ultra-magnetized neutron star, or magnetar, with available data
on the Anomalous X-ray Pulsars (AXPs). We argue that, if the AXPs are
interpreted as magnetars, their clustering of spin periods between 6 and 12
seconds, observed at present in this class of objects, their period
derivatives, their thermal X-ray luminosities, and the association of two of
them with young supernova remnants, can only be understood globally if the
magnetic field in magnetars decays significantly on a time scale of the order
of 10^4 years.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 09:37:42 GMT""}]","2009-10-31"
"astro-ph/9912067","Marco Scodeggio","L. da Costa (1), M. Scodeggio (1,2), L.F. Olsen (3), C. Benoist (1)
  ((1) European Southern Observatory, (2) Istituto di Fisica Cosmica ""G.
  Occhialini"", (3) Copenhagen University Observatory)","Building a Sample of Distant Clusters of Galaxies","To appear in ""Large Scale Structure in the X-ray Universe"", ed. M.
  Plionis and I. Georgantopoulos (Paris: Editions Frontieres), in press",,,,"astro-ph",,"  Candidate clusters of galaxies drawn from the sample identified from the
moderately deep I-band data of the ESO Imaging Survey (EIS), have been used for
follow-up optical/infrared imaging and spectroscopic observations. The
observations were conducted to assess the nature of these candidates over a
large range of redshifts. Currently, 163 EIS candidates have (V-I) colors, 15
have (I-K) and 65 cluster fields have been observed spectroscopically. From a
preliminary analysis of these data, we find that > 65% of the candidates
studied show strong evidence of being real physical associations, over the
redshift range 0.2<z<1.1. The evidence in some cases comes directly from
spectroscopic measurements, in others indirectly from the detection of
overdensities of objects with either the same color or the same photometric
redshift, or from a combination of color and spectroscopic information.
Preliminary results also suggest that the redshift derived from the
matched-filter algorithm is a reasonable measure of the cluster's redshift,
possibly overestimating it by Delta z ~0.1, at least for systems at z<0.7.
Overdensities of red objects have been detected in over 100 candidates, 38 of
which with estimated redshifts >0.6, and six candidates in the interval
0.45<z<0.81 have either been identified directly from measured redshifts or
have been confirmed by the measurement of at least one redshift for galaxies
located along a red-sequence typical of cluster early-type galaxies. Lastly,
five candidates among those already observed in the infrared have (I-Ks) colors
consistent with them being in the redshift interval 0.8<z<1.1. The sample of
""confirmed"" clusters, already the largest of its kind in the southern
hemisphere, will be further enlarged by ongoing observations.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 09:42:44 GMT""}]","2007-05-23"
